судъ#1,1,суд,Nb,-s---mn--i
ярославль,2,ꙗрославль,A-,-s---mnpsi
володимѣричь,3,волдимѣрич,Ne,-s---mn--i
правьда,4,правда,Nb,-s---fn--i
русьскыи,5,русьскаꙗ,A-,-s---fnpwi
аже,6,аже,G-,---------n
убити,7,ѹбиѥть,V-,3spia----i
мужь,8,мужь,Nb,-s---mn--i
мужь,8,мужа,Nb,-s---mg--i
то,9,то,Df,---------n
мьстити,10,мьстити,V-,--pna----i
братъ,11,брату,Nb,-s---md--i
братъ,11,брата,Nb,-s---mg--i
любо,12,любо,C-,---------n
отьць,13,оц҃ю,Nb,-s---md--i
ли,14,ли,C-,---------n
сынъ,15,сн҃у,Nb,-s---md--i
любо,12,любо,C-,---------n
братучадо,16,братучадо,Nb,-s---na--i
ли,14,ли,C-,---------n
братьнь,17,братню,A-,-s---mdpsi
сынъ,15,сн҃ви,Nb,-s---md--i
аще,18,аще,G-,---------n
ли,19,ли,Df,---------n
не,20,не,Df,---------n
быти,21,будеть,V-,3sfia----i
къто,22,кто,Px,-s---qn--i
и,23,ѥго,Pp,3s---mg--i
мьстити,10,мьстѧ,V-,-sppamn-si
то,9,то,Df,---------n
положити,24,положити,V-,--pna----i
за,25,за,R-,---------n
голова,26,голову,Nb,-s---fa--i
осмьдесятъ,27,п҃,Ma,---------n
гривьна,28,гр҃и,Nb,---------n
аче,29,аче,G-,---------n
быти,21,будеть,V-,3sfia----i
къняжь,30,кнѧжь,A-,-s---mnpsi
мужь,8,мѹжь,Nb,-s---mn--i
или,31,или,C-,---------n
тиунъ,32,тиѹна,Nb,-s---mg--i
къняжь,30,кнѧжа,A-,-s---mgpsi
аще,18,аще,G-,---------n
ли,19,ли,Df,---------n
быти,21,будеть,V-,3sfia----i
русинъ,33,русинъ,Nb,-s---mn--i
или,31,или,C-,---------n
гридь#1,34,гридь,Nb,-s---mn--i
любо,12,любо,C-,---------n
купьць,35,купець,Nb,-s---mn--i
любо,12,любо,C-,---------n
тиунъ,32,тивунъ,Nb,-s---mn--i
боярьскыи,36,боꙗрескъ,A-,-s---mnpsi
любо,12,любо,C-,---------n
мечьникъ,37,мечникъ,Nb,-s---mn--i
любо,12,любо,C-,---------n
изгои,38,ιзгѡи,Nb,-s---mn--i
ли,19,ли,Df,---------n
словѣнинъ,39,словѣнинъ,Nb,-s---mn--i
то,9,то,Df,---------n
четыредесяте,40,м҃,Ma,---------n
гривьна,28,гр҃и,Nb,---------n
положити,24,положити,V-,--pna----i
за,25,за,R-,---------n
и,23,нь,Pp,3s---ma--i
по,41,по,R-,---------n
ярославъ,42,ꙗрославѣ,Ne,-s---ml--i
же,43,же,Df,---------n
пакы,44,паки,Df,---------n
съвъкупити,45,совкупивше,V-,-pupamn-si
себе,46,сѧ,Pk,3s---qa--i
сынъ,15,сн҃ве,Nb,-p---mn--i
и,23,ѥгѡ,Pp,3s---mg--i
изъяславъ,47,изѧславъ,Ne,-s---mn--i
святославъ,48,ст҃ославъ,Ne,-s---mn--i
вьсеволодъ,49,всеволодъ,Ne,-s---mn--i
и,50,и,C-,---------n
мужь,8,мужи,Nb,-p---mn--i
и,23,ихъ,Pp,3p---mg--i
коснячько,51,коснѧчько,Ne,-s---mn--i
перенѣгъ,52,перенѣгь,Ne,-s---mn--i
никифоръ,53,никифоръ,Ne,-s---mn--i
и,50,ι,C-,---------n
отъложити,54,ѿложиша,V-,3paia----i
убиение,55,ѹбиѥниѥ,Nb,-s---na--i
за,25,за,R-,---------n
голова,26,голову,Nb,-s---fa--i
нъ,56,но,C-,---------n
куна,57,кунами,Nb,-p---fi--i
себе,46,сѧ,Pk,3s---qa--i
выкупати,58,выкупати,V-,--pna----i
а,59,а,C-,---------n
иныи,60,ино,Px,-s---na--i
вьсь,61,все,Px,-s---na--i
якоже,62,ꙗкоже,Dq,---------n
ярославъ,42,ꙗрославъ,Ne,-s---mn--i
судити,63,судилъ,V-,-sspamn-si
такоже,64,такоже,Df,---------n
и,65,ι,Df,---------n
сынъ,15,сн҃ве,Nb,-p---mn--i
и,23,ѥго,Pp,3s---mg--i
уставити,66,ѹставиша,V-,3paia----i
о,67,о,R-,---------n
убииство,68,ѹбииствѣ,Nb,-s---nl--i
аже,6,аже,G-,---------n
къто,22,кто,Px,-s---mn--i
убити,7,ѹбиѥть,V-,3spia----i
къняжь,30,кнѧжа,A-,-s---mgpsi
мужь,8,мужа,Nb,-s---mg--i
въ,69,в,R-,---------n
разбои,70,разбѡи,Nb,-s---ma--i
а,59,а,C-,---------n
головьникъ,71,головника,Nb,-s---mg--i
не,20,не,Df,---------n
искати,72,ищють,V-,3ppia----i
то,9,то,Df,---------n
вьрьвьныи,73,виревную,A-,-s---fapwi
платити,74,платити,V-,--pna----i
въ,69,въ,R-,---------n
чии,75,чьѥи,Px,-s---fl--i
же,43,же,Df,---------n
вьрвь,76,верви,Nb,-s---fl--i
голова,26,голова,Nb,-s---fn--i
лежати,77,лежить,V-,3spia----i
то,9,то,Df,---------n
осмьдесятъ,27,п҃,Ma,---------n
гривьна,28,гр҃и,Nb,---------n
пакы,44,паки,Df,---------n
ли,19,л,Df,---------n
людинъ,78,людинъ,Nb,-s---ma--i
то,9,то,Df,---------n
четыредесяте,40,м҃,Ma,---------n
гривьна,28,гр҃и,Nb,---------n
которыи,79,котѡраꙗ,Px,-s---fn--i
ли,19,ли,Df,---------n
вьрвь,76,вервь,Nb,-s---fn--i
начати,80,начнеть,V-,3spia----i
платити,74,платити,V-,--pna----i
дикыи,81,дикую,A-,-s---fapwi
вира,82,вѣру,Nb,-s---fa--i
колико,83,кѡлико,Du,---------n
лѣто,84,лѣтъ,Nb,-p---ng--i
заплатити,85,заплатить,V-,3spia----i
тыи,86,ту,Pd,-s---fa--i
вира,82,виру,Nb,-s---fa--i
зане,87,зане,G-,---------n
же,43,же,Df,---------n
без,88,безъ,R-,---------n
головьникъ,71,головника,Nb,-s---mg--i
и,23,имъ,Pp,3p---md--i
платити,74,платити,V-,--pna----i
быти,21,будеть,V-,3sfia----i
ли,19,ли,Df,---------n
головьникъ,71,головникъ,Nb,-s---mn--i
и,23,ихъ,Pp,3p---mg--i
въ,69,въ,R-,---------n
вьрвь,76,верви,Nb,-s---fl--i
то,9,то,Df,---------n
зане,87,зань,G-,---------n
къ,89,к,R-,---------n
и,23,нимъ,Pp,3p---md--i
прикладывати,90,прикладываѥть,V-,3spia----i
тыиже,91,тогѡ же,Pd,-s---ng--i
дѣля,92,дѣлѧ,R-,---------n
и,23,имъ,Pp,3p---md--i
помагати,93,помагати,V-,--pna----i
головьникъ,71,головникѹ,Nb,-s---md--i
любо,12,любо,C-,---------n
сии,94,си,Pd,-p---mn--i
дикыи,81,дикую,A-,-s---fapwi
вира,82,вѣру,Nb,-s---fa--i
нъ,56,но,C-,---------n
съплатити,95,сплати,V-,--pna----i
и,23,ιмъ,Pp,3p---md--i
вобче,96,во обчи,Df,---------n
четыредесяте,40,м҃,Ma,---------n
гривьна,28,гр҃и,Nb,---------n
а,59,а,C-,---------n
головьничьство,97,головничьство,Nb,-s---na--i
самъ,98,самому,Pd,-s---md--i
головьникъ,71,головнику,Nb,-s---md--i
а,59,а,C-,---------n
въ,69,въ,R-,---------n
четыредесяте,40,м҃,Ma,---------n
гривьна,28,гр҃и,Nb,---------n
и,23,ему,Pp,3s---md--i
заплатити,85,заплатити,V-,--pna----i
из,99,ис,R-,---------n
дружина,100,дружины,Nb,-s---fg--i
свои,101,свою,Pt,3s---fa--i
часть,102,часть,Nb,-s---fa--i
нъ,56,но,C-,---------n
оже,103,оже,G-,---------n
быти,21,будеть,V-,3sfia----i
убити,7,ѹбилъ,V-,-sspamn-si
или,31,или,C-,---------n
въ,69,въ,R-,---------n
съвада,104,свадѣ,Nb,-s---fl--i
или,31,или,C-,---------n
въ,69,в,R-,---------n
пиръ,105,пиру,Nb,-s---ml--i
явлено,106,ꙗвлено,Df,-------p-i
то,9,то,Df,---------n
тако,107,тако,Df,---------n
и,23,ѥму,Pp,3s---md--i
платити,74,платити,V-,--pna----i
по,41,по,R-,---------n
вьрвь,76,верви,Nb,-s---md--i
нынѣ,108,нынѣ,Df,---------n
иже,109,ιже,G-,---------n
себе,46,сѧ,Pk,3s---qa--i
прикладывати,90,прикладывають,V-,3ppia----i
вира,82,вирою,Nb,-s---fi--i
оже,103,оже,G-,---------n
стати,110,станеть,V-,3spia----i
без,88,без,R-,---------n
вина,111,ви҃,Nb,-s---fg--i
на,112,на,R-,---------n
разбои,70,разбои,Nb,-s---ma--i
быти,21,будеть,V-,3sfia----i
ли,19,ли,Df,---------n
стати,110,сталъ,V-,-sspamn-si
на,112,на,R-,---------n
разбои,70,разбои,Nb,-s---ma--i
без,88,безъ,R-,---------n
вьсякыи,113,всѧкоꙗ,A-,-s---fgpwi
съвада,104,свады,Nb,-s---fg--i
то,9,то,Df,---------n
за,25,за,R-,---------n
разбоиникъ,114,разбѡιника,Nb,-s---mg--i
людие,115,люди,Nb,-p---mn--i
не,20,не,Df,---------n
платити,74,платѧть,V-,3ppia----i
нъ,56,но,C-,---------n
выдати,116,выдадѧть,V-,3ppia----i
и,23,и,Pp,3s---ma--i
вьсь,61,всего,Px,-s---mg--i
съ,117,съ,R-,---------n
жена,118,женою,Nb,-s---fi--i
и,50,ι,C-,---------n
съ,117,с,R-,---------n
дѣтя,119,дѣтми,Nb,-p---ni--i
на,112,на,R-,---------n
потокъ,120,потѡкъ,Nb,-s---ma--i
и,50,и,C-,---------n
на,112,на,R-,---------n
разграбление,121,разграблениѥ,Nb,-s---na--i
аже,6,аже,G-,---------n
къто,22,кто,Px,-s---mn--i
не,20,не,Df,---------n
въложити,122,вложить,V-,3spia----i
въ,69,в,R-,---------n
дикыи,81,дикую,A-,-s---fapwi
вира,82,вѣру,Nb,-s---fa--i
тыи,86,тому,Pd,-s---md--i
людие,115,людѥ,Nb,-p---mn--i
не,20,не,Df,---------n
помагати,93,помагають,V-,3ppia----i
нъ,56,но,C-,---------n
самъ,98,самъ,Pd,-s---mn--i
платити,74,платить,V-,3spia----i
а,59,а,C-,---------n
сии,94,се,Pd,-s---nn--i
поконъ,123,покони,Nb,-p---mn--i
вирьныи,124,вирнии,A-,-p---mnpwi
быти,21,были,V-,-pspamn-si
при,125,при,R-,---------n
ярославъ,42,ꙗрославѣ,Ne,-s---ml--i
вирьникъ,126,вирнику,Nb,-s---md--i
възяти,127,взѧти,V-,--pna----i
седмь,128,з҃,Ma,---------n
вѣдро,129,вѣдеръ,Nb,-p---ng--i
солодъ,130,солоду,Nb,-s---mg--i
на,112,на,R-,---------n
недѣля,131,недѣлю,Nb,-s---fa--i
же,43,же,Df,---------n
овьнъ,132,овенъ,Nb,-s---ma--i
любо,12,любо,C-,---------n
полъть,133,полоть,Nb,-s---ma--i
любо,12,любо,C-,---------n
дъва,134,в҃,Ma,---------n
ногата,135,ногатѣ,Nb,-d---fa--i
а,59,а,C-,---------n
въ,69,в,R-,---------n
середа,136,середу,Nb,-s---fa--i
куна,57,куна,Nb,-s---fn--i
оже,137,же,C-,---------n
сыръ,138,сыръ,Nb,-s---ma--i
