въ,1,въ,R-,---------n
тыиже,2,тъж҇,Pd,-s---ma--i
дьнь,3,дн҃ъ,Nb,-s---ma--i
съказание,4,съказаниѥ,Nb,-s---nn--i
и,5,и,C-,---------n
страсть,6,страсть,Nb,-s---fn--i
и,5,и,C-,---------n
похвала,7,похвала,Nb,-s---fn--i
святыи,8,ст҃ою,A-,-d---mgpwi
мученикъ,9,мч҃никѹ,Nb,-d---mg--i
борисъ,10,бориса,Ne,-s---mg--i
и,5,и,C-,---------n
гълѣбъ,11,глѣба,Ne,-s---mg--i
господь,12,г҃и,Nb,-s---mv--i
благословити,13,блгc҇ви,V-,2spma----i
отьць,14,оч҃е,Nb,-s---mv--i
родъ,15,Родъ,Nb,-s---mn--i
правыи,16,правꙑихъ,A-,-p---mgpwi
благословити,13,бл҃гословить,V-,3spia----i
себе,17,сѧ,Pk,3s---qa--i
рещи,18,рече,V-,3saia----i
пророкъ,19,про҇ркъ,Nb,-s---mn--i
и,5,и,C-,---------n
сѣмя,20,сѣмѧ,Nb,-s---nn--i
и,21,ихъ,Pp,3p---mg--i
въ,1,въ,R-,---------n
благословение,22,благословлении,Nb,-s---nl--i
быти,23,бѹдеть,V-,3sfia----i
сице,24,сице,Df,---------n
убо,25,ѹбо,Df,---------n
быти,23,бꙑсть,V-,3saia----i
малыи,26,малъмь,A-,-s---nipsi
прѣже,27,преже,Df,---------n
сии,28,сихъ,Pd,-p---ng--i
быти,23,сѹщю,V-,-sppamd-si
самодьржьць,29,самодрьжьцю,Nb,-s---md--i
вьсь,30,вьсеи,Px,-s---fd--i
русьскыи,31,рѹсьскѣи,A-,-s---fdpwi
земля,32,земли,Nb,-s---fd--i
володимиръ,33,володимиру,Ne,-s---md--i
сынъ,34,сн҃ѹ,Nb,-s---md--i
святославль,35,свѧтославлю,A-,-s---mdpsi
вънукъ,36,вънѹкѹ,Nb,-s---md--i
же,37,же,Df,---------n
игоревъ,38,игоревѹ,A-,-s---mdpsi
иже,39,иже,Pr,-s---mn--i
и,40,и,Df,---------n
святыи,8,ст҃ꙑимь,A-,-s---nipwi
крьщение,41,кр҃щениѥмь,Nb,-s---ni--i
вьсь,30,вьсю,Px,-s---fa--i
просвѣтити,42,просвѣти,V-,3saia----i
сии,28,сию,Pd,-s---fa--i
земля,32,землю,Nb,-s---fa--i
русьскыи,31,рѹсьскѹ,A-,-s---fapsi
прочии,43,прочаѧ,A-,-p---fapwi
же,37,же,Df,---------n
и,21,ѥго,Pp,3s---mg--i
добродѣтель,44,добродѣтели,Nb,-p---fa--i
инъдѣ,45,инде,Df,---------n
съказати,46,съкажемъ,V-,1ppia----i
нынѣ,47,нынѣ,Df,---------n
же,37,же,Df,---------n
не быти,48,нѣсть,V-,3spia----i
врѣмя,49,времꙗ,Nb,-s---nn--i
а,50,а,C-,---------n
о,51,о,R-,---------n
сии,28,сихъ,Pd,-p---nl--i
по,52,по,R-,---------n
рядъ,53,рѧду,Nb,-s---md--i
сице,24,сице,Df,---------n
быти,23,ѥсть,V-,3spia----i
сии,28,сь,Pd,-s---mn--i
убо,25,ѹбо,Df,---------n
володимиръ,33,володимиръ,Ne,-s---mn--i
имѣти,54,имѣꙗше,V-,3siia----i
сынъ,34,сн҃овъ,Nb,-p---mg--i
дъванадесять,55,в҃ꙇ,Ma,---------n
не,56,не,Df,---------n
отъ,57,отъ,R-,---------n
единъ,58,ѥдиноꙗ,Ma,-s---fg--i
жена,59,женꙑ,Nb,-s---fg--i
нъ,60,нъ,C-,---------n
отъ,57,отъ,R-,---------n
разьныи,61,раснъ,A-,-p---fgpsi
мати,62,матеръ,Nb,-p---fg--i
и,21,ихъ,Pp,3p---mg--i
въ,1,въ,R-,---------n
и,21,нихъ,Pp,3p---ml--i
же,37,же,Df,---------n
быти,23,бѧше,V-,3siia----i
старыи,63,старѣи,A-,-s---mncti
вышеславъ,64,вышеславъ,Ne,-s---mn--i
а,50,а,C-,---------n
по,52,по,R-,---------n
и,21,немь,Pp,3s---ml--i
изъяславъ,65,изѧславъ,Ne,-s---mn--i
трие,66,г҃,Ma,---------n
святопълкъ,67,ст҃опълкъ,Ne,-s---mn--i
иже,39,иже,Pr,-s---mn--i
и,40,и,Df,---------n
убииство,68,ѹбииство,Nb,-s---na--i
сии,28,се,Pd,-s---na--i
зълыи,69,зълоѥ,A-,-s---napwi
изобрѣсти,70,изъобрѣтъ,V-,3saia----i
сии,28,сего,Pd,-s---mg--i
мати,62,мт҃и,Nb,-s---fn--i
прѣже,27,преже,Df,---------n
быти,23,бѣ,V-,3siia----i
чьрница,71,чьрницею,Nb,-s---fi--i
грькыни,72,гръкꙑни,Nb,-s---fn--i
быти,23,сѹщи,V-,-sppafd-si
и,5,и,C-,---------n
пояти,73,поꙗлъ,V-,-sspamn-si
и,21,ю,Pp,3s---fa--i
быти,23,бѣ,V-,3siia----i
яропълкъ,74,ꙗропълкъ,Ne,-s---mn--i
братъ,75,братъ,Nb,-s---mn--i
володимирь,76,володимирь,A-,-s---mnpsi
и,5,и,C-,---------n
ростричи,77,ростригъ,V-,-supamn-si
и,21,ю,Pp,3s---fa--i
красота,78,красотꙑ,Nb,-s---fg--i
дѣля,79,дѣлꙗ,R-,---------n
лице,80,лица,Nb,-s---ng--i
и,21,ѥꙗ,Pp,3s---fg--i
и,5,и,C-,---------n
зачати,81,зача,V-,3saia----i
отъ,57,отъ,R-,---------n
и,21,неꙗ,Pp,3s---fg--i
сии,28,сего,Pd,-s---mg--i
святопълкъ,67,ст҃опълка,Ne,-s---mg--i
оканьныи,82,оканьнааго,A-,-s---mgpwi
володимиръ,33,володимиръ,Ne,-s---mn--i
же,37,же,Df,---------n
поганыи,83,поганъи,A-,-s---mnpwi
еще,84,ѥще,Df,---------n
убити,85,ѹбивъ,V-,-supamn-si
яропълкъ,74,ꙗропълка,Ne,-s---mg--i
и,5,и,C-,---------n
пояти,73,поꙗтъ,V-,3saia----i
жена,59,женѹ,Nb,-s---fa--i
и,21,ѥго,Pp,3s---mg--i
непраздьныи,86,непраздьнѹ,A-,-s---fapsi
быти,23,сѹщю,V-,-sppafa-si
отъ,57,отъ,R-,---------n
и,21,неꙗ,Pp,3s---fg--i
же,37,же,Df,---------n
родити,87,роди,V-,3saia----i
себе,17,сꙗ,Pk,3s---qa--i
сии,28,сии,Pd,-s---mn--i
оканьныи,82,оканьнꙑи,A-,-s---mnpwi
святопълкъ,67,ст҃опълкъ,Ne,-s---mn--i
и,5,и,C-,---------n
быти,23,бꙑсть,V-,3saia----i
отъ,57,отъ,R-,---------n
дъва,88,дъвою,Ma,-d---mg--i
цѣсарь,89,ц҃ю,Nb,-d---mg--i
и,5,и,C-,---------n
братъ,75,братѹ,Nb,-d---mg--i
быти,23,сѹщю,V-,-dppamg-si
тыи,90,тѣмь,Pd,-s---ni--i
же,37,же,Df,---------n
и,40,и,Df,---------n
не,56,не,Df,---------n
любити,91,люблꙗаше,V-,3siia----i
и,21,ѥго,Pp,3s---mg--i
володимиръ,33,володимиръ,Ne,-s---mn--i
акы,92,акꙑ,G-,---------n
не,56,не,Df,---------n
отъ,57,отъ,R-,---------n
себе,17,себе,Pk,3s---mg--i
и,21,ѥмѹ,Pp,3s---md--i
быти,23,сѹщю,V-,-sppamd-si
а,50,а,C-,---------n
отъ,57,отъ,R-,---------n
рогънѣдь,93,рогнѣди,Ne,-s---fg--i
четыре,94,д҃,Ma,---------n
сынъ,34,сн҃ꙑ,Nb,-p---ma--i
имѣти,54,имѣꙗше,V-,3siia----i
изъяславъ,65,изꙗслава,Ne,-s---mg--i
и,5,и,C-,---------n
мьстиславъ,95,мьстислава,Ne,-s---mg--i
и,5,и,C-,---------n
ярославъ,96,ꙗрослава,Ne,-s---mg--i
и,5,и,C-,---------n
вьсеволодъ,97,всеволода,Ne,-s---mg--i
а,50,а,C-,---------n
отъ,57,отъ,R-,---------n
иныи,98,иноꙗ,Px,-s---fg--i
святославъ,99,ст҃ослава,Ne,-s---mg--i
и,5,и,C-,---------n
мьстиславъ,95,мьстислава,Ne,-s---mg--i
а,50,а,C-,---------n
отъ,57,отъ,R-,---------n
българыни,100,българꙑнѣ,Nb,-s---fg--i
борисъ,10,бориса,Ne,-s---mg--i
и,5,и,C-,---------n
гълѣбъ,11,глѣба,Ne,-s---mg--i
и,5,и,C-,---------n
посажати,101,посажа,V-,3saia----i
вьсь,30,всꙗ,Px,-p---ma--i
по,52,по,R-,---------n
розьныи,102,роснамъ,A-,-p---fdpwi
земля,32,землꙗмъ,Nb,-p---fd--i
въ,1,въ,R-,---------n
къняжение,103,кнꙗжении,Nb,-s---nl--i
иже,39,иже,Pr,-s---ma--i
инъдѣ,45,инъде,Df,---------n
съказати,46,съкажемъ,V-,1ppia----i
сии,28,сихъ,Pd,-p---mg--i
же,37,же,Df,---------n
съповѣдати,104,съповѣмꙑ,V-,1ppia----i
убо,25,ѹбо,Df,---------n
о,51,о,R-,---------n
и,21,нихъ,Pp,3p---ml--i
же,37,же,Df,---------n
и,40,и,Df,---------n
повѣсть,105,повѣсть,Nb,-s---fn--i
сии,28,си,Pd,-s---fn--i
быти,23,ѥсть,V-,3spia----i
посадити,106,посади,V-,3saia----i
убо,25,убо,Df,---------n
сии,28,сего,Pd,-s---mg--i
оканьныи,82,оканьнааго,A-,-s---mgpwi
святопълкъ,67,Свꙗтопълка,Ne,-s---mg--i
въ,1,въ,R-,---------n
къняжение,103,кнꙗжении,Nb,-s---nl--i
пиньскъ,107,Пиньскѣ,Ne,-s---ml--i
а,50,а,C-,---------n
ярославъ,96,Ꙗрослава,Ne,-s---mg--i
новъгородъ,108,Новѣгородѣ,Ne,-s---ml--i
а,50,а,C-,---------n
борисъ,10,Бориса,Ne,-s---mg--i
ростовъ,109,Ростовѣ,Ne,-s---ml--i
а,50,а,C-,---------n
гълѣбъ,11,Глѣба,Ne,-s---mg--i
муромъ,110,Муромѣ,Ne,-s---ml--i
нъ,60,нъ,C-,---------n
се,111,се,I-,---------n
остати,112,остаану,V-,1spia----i
мъногыи,113,много,A-,-s---napsi
глаголати,114,глаголати,V-,--pna----i
да,115,да,G-,---------n
не,56,не,Df,---------n
мъногописание,116,многописании,Nb,-s---nl--i
въ,1,въ,R-,---------n
забыть,117,забыть,Nb,-s---ma--i
вълѣзти,118,вълѣземъ,V-,1ppia----i
нъ,60,нъ,C-,---------n
о,51,о,R-,---------n
иже,39,немьже,Pr,-s---ml--i
начати,119,начахъ,V-,1saia----i
сии,28,си,Pd,-p---na--i
съказати,46,съкажемъ,V-,1ppia----i
убо,25,убо,Df,---------n
сице,24,сице,Df,---------n
мъногыи,113,многомъ,A-,-p---mdpsi
же,37,же,Df,---------n
уже,120,уже,Df,---------n
дьнь,3,дн҃ьмъ,Nb,-p---md--i
минути,121,минѹвъшемъ,V-,-pupamd-si
и,5,и,C-,---------n
яко,122,ꙗко,Dq,---------n
съконьчати,123,съконьчаша,V-,3paia----i
себе,17,сꙗ,Pk,3s---qa--i
дьнь,3,дн҃иѥ,Nb,-p---mn--i
володимиръ,33,володимирѹ,Ne,-s---md--i
уже,120,ѹже,Df,---------n
минути,121,минѹвъшемъ,V-,-pupamd-si
лѣто,124,лѣтомъ,Nb,-p---nd--i
дъвадесяти,125,к҃,Ma,---------n
осмь,126,и҃,Ma,---------n
по,52,по,R-,---------n
святыи,8,ст҃ѣмь,A-,-s---nlpwi
крьщение,41,кр҃щении,Nb,-s---nl--i
въпасти,127,въпаде,V-,3saia----i
въ,1,въ,R-,---------n
недугъ,128,недѹгь,Nb,-s---ma--i
крѣпъкыи,129,крѣпъкъ,A-,-s---mapsi
въ,1,въ,R-,---------n
тыиже,2,то же,Pd,-s---na--i
врѣмя,49,времꙗ,Nb,-s---na--i
быти,23,бꙗше,V-,3siia----i
приити,130,пришелъ,V-,-sspamn-si
борисъ,10,борисъ,Ne,-s---mn--i
из,131,изд,R-,---------n
ростовъ,109,ростова,Ne,-s---mg--i
печенѣгъ,132,печенегомъ,Nb,-p---md--i
же,37,же,Df,---------n
о,51,о,R-,---------n
онуду,133,онѹду,Df,---------n
пакы,134,пакы,Df,---------n
ити,135,идущемъ,V-,-pppamd-si
рать,136,ратию,Nb,-s---fi--i
на,137,на,R-,---------n
русь,138,рѹсь,Ne,-s---fa--i
въ,1,въ,R-,---------n
великыи,139,велицѣ,A-,-s---flpsi
печаль,140,печали,Nb,-s---fl--i
быти,23,бꙗаше,V-,3siia----i
володимиръ,33,володимиръ,Ne,-s---mn--i
зане,141,зане,G-,---------n
не,56,не,Df,---------n
мощи,142,можааше,V-,3siia----i
изити,143,изити,V-,--pna----i
противу,144,противу,R-,---------n
и,21,имъ,Pp,3p---md--i
и,5,и,C-,---------n
мъного,145,много,Df,-------p-i
печалити,146,печалѧаше,V-,3siia----i
себе,17,сꙗ,Pk,3s---qa--i
и,5,и,C-,---------n
призъвати,147,призъвавъ,V-,-supamn-si
борисъ,10,бориса,Ne,-s---mg--i
иже,39,ѥмуже,Pr,-s---md--i
быти,23,бѣ,V-,3siia----i
имя,148,имꙗ,Nb,-s---nn--i
нарещи,149,наречено,V-,-suppnn-si
въ,1,въ,R-,---------n
святыи,8,свѧтѣмь,A-,-s---nlpwi
крьщение,41,крьщении,Nb,-s---nl--i
романъ,150,романъ,Ne,-s---ma--i
блаженыи,151,блаженааго,A-,-s---mgpwi
и,5,и,C-,---------n
скоропослушьливыи,152,скоропослушьливааго,A-,-s---mgpwi
прѣдати,153,предавъ,V-,-supamn-si
вои,154,воѣ,Nb,-p---ma--i
мъногыи,113,мъногы,A-,-p---mapsi
въ,1,въ,R-,---------n
рука,155,руцѣ,Nb,-d---fa--i
и,21,ѥго,Pp,3s---mg--i
посълати,156,посъла,V-,3saia----i
и,21,и,Pp,3s---ma--i
противу,144,противу,R-,---------n
безбожьныи,157,безбожьнымъ,A-,-p---mdpwi
печенѣгъ,132,печенѣгомъ,Nb,-p---md--i
онъ,158,онъ,Pd,-s---mn--i
же,37,же,Df,---------n
съ,159,съ,R-,---------n
радость,160,радостию,Nb,-s---fi--i
въстати,161,въставъ,V-,-supamn-si
ити,135,иде,V-,3saia----i
рещи,18,рекъ,V-,-supamn-si
се,111,Се,I-,---------n
готовыи,162,готовъ,A-,-s---mnpsi
быти,23,есмь,V-,1spia----i
прѣдъ,163,предъ,R-,---------n
око,164,очима,Nb,-d---ni--i
твои,165,твоима,Ps,2d---ni--i
сътворити,166,сътворити,V-,--pna----i
елико,167,елико,Pr,---------n
велѣти,168,велить,V-,3spia----i
воля,169,волꙗ,Nb,-s---fn--i
сьрдьце,170,сьрдьца,Nb,-s---ng--i
твои,165,твоѥго,Ps,2s---ng--i
о,51,О,R-,---------n
таковыи,171,таковыихъ,A-,-p---mlpwi
бо,172,бо,Df,---------n
рещи,18,рече,V-,3saia----i
притъчьникъ,173,Притъчьникъ,Nb,-s---mn--i
сынъ,34,Сынъ,Nb,-s---mn--i
быти,23,быхъ,V-,1saia----i
отьць,14,отьцю,Nb,-s---md--i
послушьливыи,174,послушьливъ,A-,-s---mnpsi
и,5,и,C-,---------n
любити,91,любиимъ,V-,-spppmn-si
прѣдъ,163,предъ,R-,---------n
лице,80,лицьмь,Nb,-s---ni--i
мати,62,матере,Nb,-s---fg--i
свои,175,своеꙗ,Pt,3s---fg--i
отъити,176,Ошедъшю,V-,-supamd-si
же,37,же,Df,---------n
и,21,ѥму,Pp,3s---md--i
и,5,и,C-,---------n
не,56,не,Df,---------n
обрѣсти,177,обрѣтъшю,V-,-supamd-si
супостатъ,178,супостатъ,Nb,-p---mg--i
свои,175,своихъ,Pt,3p---mg--i
