тъ,-s---mn--i
васъ,2p---qg--i
крьститъ,3spia----i
дх҃омь,-s---mi--i
ст҃ъꙇмь,-s---oipwi
ꙇ,---------n
огн҄емь,-s---mi--i
Емоуже,-s---md--i
лопата,-s---fn--i
въ,---------n
рѫкоу,-d---fl--i
его,3s---og--i
ꙇ,---------n
потрѣбитъ,3spia----i
гоумъно,-s---na--i
свое,3s---na--i
ꙇ,---------n
съберетъ,3spia----i
пьшеницѫ,-s---fa--i
въ,---------n
житьницѫ,-s---fa--i
а,---------n
плѣвꙑ,-p---fa--i
съжежетъ,3spia----i
огн҄емь,-s---mi--i
негасимъꙇмь,-spppmi-wi
тогда,---------n
приде,3saia----i
ис҃,-s---mn--i
отъ,---------n
галилеѩ,-s---fg--i
на,---------n
ꙇор'данъ,-s---ma--i
къ,---------n
ꙇоӑноу,-s---md--i
крьстити,--pna----i
сѧ,3s---qa--i
отъ,---------n
н҄его,3s---mg--i
ꙇо̆анъ,-s---mn--i
же,---------n
възбран҄ѣше,3siia----i
емоу,3s---od--i
гл҃ѧ,-sppamn-si
азъ,1s---mn--i
трѣбоуѭ,1spia----i
отъ,---------n
тебе,2s---mg--i
крьстити,--pna----i
сѧ,3s---qa--i
а,---------n
тꙑ,2s---mn--i
л҃и҃,---------n
къ,---------n
мнѣ,1s---md--i
грѧдеши,2spia----i
отъвѣштавъ,-supamn-si
же,---------n
ис҃,-s---mn--i
рече,3saia----i
къ,---------n
н҄емоу,3s---md--i
остани,2spma----i
нꙑн҄ѣ,---------n
тако,---------n
бо,---------n
подобьно,-s---nnpsi
намъ,1p---qd--i
естъ,3spia----i
съкончати,--pna----i
всѣкѫ̆,-s---fapsi
правъдѫ,-s---fa--i
тогда,---------n
остави,3saia----i
его,3s---mg--i
крьшть,-supamn-si
сѧ,3s---qa--i
ис҃,-s---mn--i
ꙇ,---------n
възиде,3saia----i
отъ,---------n
водꙑ,-s---fg--i
ꙇ,---------n
се,---------n
отвръзошѧ,3paia----i
сѧ,3s---qa--i
емоу,3s---md--i
ꙇ,---------n
видѣ,3saia----i
дх҃ъ,-s---ma--i
бж҃іи,-s---mapsi
съxодѧшть,-sppama-si
ѣко,---------n
голѫбь,-s---mn--i
ꙇ,---------n
грѧдѫшть,-sppama-si
на,---------n
н҄ь,3s---ma--i
ꙇ,---------n
се,---------n
гласъ,-s---mn--i
съ,---------n
нб҃се,-s---ng--i
гл҃ѧ,-sppamn-si
сь,-s---mn--i
естъ,3spia----i
сн҃ъ,-s---mn--i
мои,1s---mn--i
възл҄юбл҄енъꙇ,-suppmn-wi
о,---------n
немь,3s---ml--i
же,---------n
благов[о]лиxъ,1saia----i
тогда,---------n
ис҃,-s---mn--i
възведенъ,-suppmn-si
бꙑстъ,3saia----i
дх҃омь,-s---mi--i
въ,---------n
поустꙑн҄ѭ,-s---fa--i
ꙇскоусити,--pna----i
сѧ,3s---qa--i
отъ,---------n
неприѣзни,-s---fg--i
ꙇ,---------n
пошть,-supamn-si
сѧ,3s---qa--i
дьниі,-p---mg--i
к҃,-s---mn--i
ꙇ,---------n
ноштиі,-p---ng--i
послѣдь,---------n
възлака,3saia----i
Ꙇ,---------n
пристѫпи,3saia----i
къ,---------n
н҄емоу,3s---md--i
диѣволъ,-s---mn--i
ꙇскоушаѩ,-sppamn-si
и,3s---ma--i
ꙇ,---------n
рече,3saia----i
аште,---------n
сн҃ъ,-s---mn--i
еси,2spia----i
бж҃іи,-s---mapsi
рьци,2spma----i
да,---------n
камение,-s---nn--i
се,-s---nn--i
xлѣби,-p---mn--i
бѫдѫтъ,3pfia----i
о̆нъ,-s---mn--i
же,---------n
отъвѣштавъ,-supamn-si
рече,3saia----i
пишетъ,3spia----i
не,---------n
о,---------n
xлѣбѣ,-s---ml--i
единомь,-s---ol--i
поживетъ,3spia----i
чк҃ъ,-s---mn--i
нъ,---------n
о̆,---------n
всемь,-s---ml--i
гл҃ѣ,-s---ml--i
ꙇсxодѧштиімь,-sppaml-wi
ꙇз,---------n
оустъ,-p---ng--i
бж҃іи,-p---qgpsi
тогда,---------n
поѩтъ,3saia----i
і,3s---ma--i
диѣволъ,-s---mn--i
вь,---------n
ст҃ъꙇ,-s---mapwi
градъ,-s---ma--i
ꙇ,---------n
постави,3saia----i
і,3s---ma--i
на,---------n
крилѣ,-s---nl--i
црък'вьнѣемь,-s---nlpwi
ꙇ,---------n
гл҃а,3saia----i
емоу,3s---md--i
аште,---------n
сн҃ъ,-s---mn--i
еси,2spia----i
бж҃іи,-s---mnpsi
поусти,2spma----i
себе,3s---qg--i
долоу,---------n
пишетъ,3spia----i
бо,---------n
ѣко,---------n
аꙉл҃омъ,-p---md--i
своимъ,3p---qd--i
заповѣстъ,3spia----i
о,---------n
тебѣ,2s---ml--i
ꙇ,---------n
на,---------n
рѫкаxъ,-p---fl--i
възъмѫтъ,3ppia----i
тѧ,2s---ma--i
да,---------n
не,---------n
когда,---------n
прѣтъкнеши,2spia----i
о,---------n
камен??,-s---ma--i
ногѫ,-s---fa--i
своѫ,3s---fa--i
Рече,3saia----i
же,---------n
емоу,3s---md--i
ис҃,-s---mn--i
пакꙑ,---------n
пишетъ,3spia----i
не,---------n
ꙇскоусиши,2spia----i
г҃а,-s---mg--i
б҃а,-s---mg--i
своего,3s---mg--i
пакꙑ,---------n
поѩтъ,3saia----i
его,3s---mg--i
неприѣзнь,-s---fn--i
на,---------n
горѫ,-s---fa--i
вꙑсокѫ,-s---fapsi
ꙃѣло,---------n
ꙇ,---------n
показа,3saia----i
емоу,3s---md--i
вьсѣ,-p---na--i
цр҃ствиѣ,-p---na--i
мира,-s---mg--i
ꙇ,---------n
славѫ,-s---fa--i
его,3s---mg--i
ꙇ,---------n
гл҃а,3saia----i
емоу,3s---md--i
вьсѣ,-p---na--i
си,-p---na--i
дамь,1spia----i
ти,-p---mn--i
аште,---------n
падъ,-supamn-si
поклониши,2spia----i
ми,1s---md--i
сѧ,3s---qa--i
тогда,---------n
гл҃а,3saia----i
емоу,3s---md--i
ис҃,-s---mn--i
отиди,2spma----i
диѣвол҄е,-s---mv--i
пишетъ,3spia----i
бо,---------n
г҃ю,-s---md--i
б҃ѵ,-s---md--i
своемоу,3s---od--i
поклониши,2spia----i
сѧ,3s---qa--i
ꙇ,---------n
томоу,-s---md--i
единомоу,-s---md--i
послоужиши,2spia----i
тогда,---------n
остави,3saia----i
его,3s---mg--i
диѣволъ,-s---mn--i
ꙇ,---------n
се,---------n
аꙉл҃и,-p---mn--i
пристѫпишѧ,3paia----i
ꙇ,---------n
слоужааxѫ,3piia----i
емоу,3s---md--i
Слꙑшавъ,-supamn-si
же,---------n
ис҃,-s---mn--i
ѣко,---------n
ꙇоӑнъ,-s---mn--i
прѣданъ,-suppmn-si
бꙑстъ,3saia----i
отиде,3saia----i
въ,---------n
галилеѭ,-s---fa--i
ꙇ,---------n
оставь,-supamn-si
назаретъ,-s---ma--i
пришедъ,-supamn-si
вьсели,3saia----i
сѧ,3s---qa--i
въ,---------n
каперьнаоумъ,-s---ma--i
на,---------n
поморие,-s---na--i
въ,---------n
область,-s---fa--i
завѵлон҄ѭ,-s---fapsi
ꙇ,---------n
невъф'талимл҄ѭ,-s---fapsi
да,---------n
съконьчаатъ,3spia----i
сѧ,3s---qa--i
реченое,-suppnn-wi
ꙇсаꙇемь,-s---mi--i
пророкомь,-s---mi--i
гл҃ѭштем??,-sppami-si
земл҄ѣ,-s---fv--i
завѵлон҄ѣ,-s---fvpsi
земл҄ѣ,-s---fv--i
невъф'талимл҄ѣ,-s---fvpsi
пѫть,-s---mn--i
морѣ,-s---ng--i
на,---------n
ономь,-s---ol--i
полоу,-s---ml--i
ꙇор'да??,-s---mg--i
галилеѣ,-s---fv--i
ѩзꙑкомъ,-p---md--i
люди,-p---mn--i
сѣдѧштиі,-pppamn-wi
въ,---------n
тъмѣ,-s---fl--i
видѣшѧ,3paia----i
свѣтъ,-s---ma--i
велиі,-s---mapti
ꙇ,---------n
сѣдѧштиімъ,-pppamd-wi
въ,---------n
тъмѣ,-s---fl--i
ꙇ,---------n
въ,---------n
сѣни,-s---fl--i
съмрътьнѣ,-s---flpsi
свѣтъ,-s---mn--i
въсиѣетъ,3spia----i
на,---------n
насъ,1p---qa--i
Ѡтъ толи,---------n
начѧтъ,3saia----i
ис҃,-s---mn--i
проповѣдати,--pna----i
ꙇ,---------n
гл҃ати,--pna----i
покаꙇте,2ppma----i
сѧ,3p---qa--i
приближи,3saia----i
бо,---------n
сѧ,3s---qa--i
цр҃ствие,-s---nn--i
нб҃ское,-s---nnpwi
xодѧ,-sppamn-si
же,---------n
при,---------n
мори,-s---nl--i
галилѣꙇсцѣмь,-s---nlpwi
видѣ,3saia----i
дъва,-d---ma--i
братра,-d---ma--i
симона,-s---mg--i
нарицаѭштааго,-sppamg-wi
сѧ,3s---qa--i
петра,-s---mg--i
ꙇ,---------n
ан'дрѣѭ,-s---ma--i
братра,-s---mg--i
его,3s---mg--i
въмѣтаѭшта,-dppama-si
мрѣжѧ,-p---fa--i
въ,---------n
море,-s---na--i
бѣашете,3diia----i
бо,---------n
рꙑбарѣ,-d---mn--i
ꙇ,---------n
гл҃а,3saia----i
ꙇма,3d---md--i
грѧдѣта,2dpma----i
въ,---------n
слѣдъ,-s---ma--i
мене,1s---mg--i
ꙇ,---------n
сътвор҄ѭ,1spia----i
вꙑ,2d---qa--i
чк҃омъ,-p---md--i
ловьца,-d---ma--i
она,-d---mn--i
же,---------n
абие,---------n
оставьша,-dupamn-si
мрѣжѧ,-p---fa--i
по,---------n
немь,3s---ml--i
ꙇдосте,3daia----i
ꙇ,---------n
прѣшьдъ,-supamn-si
тѫдѣ,---------n
видѣ,3saia----i
ꙇна,-d---ma--i
дъва,-d---ma--i
братра,-d---ma--i
ꙇѣкова,-s---mg--i
зеведео̆ва,-s---mgpsi
ꙇо̆ана,-s---mg--i
брата,-s---mg--i
емоу,3s---md--i
въ,---------n
кораби,-s---ml--i
съ,---------n
зеведеомь,-s---mi--i
оц҃емь,-s---mi--i
ею,3d---mg--i
завѧзаѭшта,-dppama-si
мрѣжѧ,-p---fa--i
своѩ,3p---fa--i
ꙇ,---------n
възъва,3saia----i
ѣ,3d---ma--i
о̆на,-d---mn--i
же,---------n
абие,---------n
оставьша,-dupamn-si
кораб҄ь,-s---ma--i
ꙇ,---------n
оц҃а,-s---mg--i
своего,3s---mg--i
по,---------n
н҄емь,3s---ml--i
ꙇдосте,3daia----i
ꙇ,---------n
проxождааше,3siia----i
в'сѭ,-s---fa--i
галилеѭ,-s---fa--i
ис҃,-s---mn--i
оучѧ,-sppamn-si
на,---------n
сънъмиштиxъ,-p---nl--i
ꙇxъ,3p---mg--i
ꙇ,---------n
проповѣдаѩ,-sppamn-si
ев҃аꙉлие,-s---na--i
цр҃ствиѣ,-s---ng--i
ꙇ,---------n
цѣлѧ,-sppamn-si
вьсѣкъ,-s---mapsi
недѫгъ,-s---ma--i
ꙇ,---------n
всѣкѫ,-s---fapsi
ѩзѫ,-s---fa--i
въ,---------n
л҄юдеxъ,-p---ml--i
ꙇ,---------n
изиде,3saia----i
слоуxъ,-s---mn--i
его,3s---mg--i
въ,---------n
вьсеи,-s---fl--i
с'ѵриі,-s---fl--i
ꙇ,---------n
привѣсѧ,3paia----i
емоу,3s---md--i
вьсѧ,-p---ma--i
болѧштѧѩ,-pppama-wi
различьнъꙇми,-p---mipwi
недѫгꙑ,-p---mi--i
ꙇ,---------n
страстьми,-p---fi--i
о̆дръжимꙑ,-ppppma-wi
ꙇ,---------n
бѣсънꙑѩ,-p---mapwi
ꙇ,---------n
мѣсѧчьнꙑѩ,-p---mapwi
зълꙑ,-p---mapsi
недѫгꙑ,-p---ma--i
ꙇмѫштѧ,-pppama-si
ꙇ,---------n
ослабл҄енꙑ,-puppma-wi
жилами,-p---fi--i
ꙇ,---------n
ицѣли,3saia----i
ѩ,3p---ma--i
ꙇ,---------n
по,---------n
н҄емь,3s---ml--i
ꙇдошѧ,3paia----i
народи,-p---mn--i
мноꙃи,-p---mnpsi
о̆тъ,---------n
галилеѩ,-s---fg--i
ꙇ,---------n
декаполѣӑ,-s---mg--i
ꙇ,---------n
отъ,---------n
ꙇл҃ма,-s---mg--i
ꙇ,---------n
и юдеѩ,-s---fg--i
ꙇ,---------n
съ,---------n
оного,-s---mg--i
полоу,-s---mg--i
ꙇо̆рдана,-s---mg--i
оузьрѣвъ,-supamn-si
же,---------n
народꙑ,-p---ma--i
вьзиде,3saia----i
на,---------n
горѫ,-s---fa--i
ꙇ,---------n
ѣко,---------n
сѣде,3saia----i
пристѫпишѧ,3paia----i
къ,---------n
н҄емоу,3s---md--i
оученици,-p---mn--i
его,3s---mg--i
ꙇ,---------n
отвръзъ,-supamn-si
оуста,-p---na--i
своѣ,3p---na--i
оучааше,3siia----i
ѩ,3p---ma--i
гл҃ѧ,-sppamn-si
Блажени,-p---mnpsi
ништиі,-p---mnpwi
дх҃омь,-s---mi--i
ѣко,---------n
тѣxъ,-p---mg--i
естъ,3spia----i
цр҃со,-s---nn--i
нб҃ское,-s---nnpwi
блажени,-p---mnpsi
