тъ,Pd
васъ,Pp
крьститъ,V-
дх҃омь,Nb
ст҃ъꙇмь,A-
ꙇ,C-
огн҄емь,Nb
Емоуже,Pr
лопата,Nb
въ,R-
рѫкоу,Nb
его,Pp
ꙇ,C-
потрѣбитъ,V-
гоумъно,Nb
свое,Pt
ꙇ,C-
съберетъ,V-
пьшеницѫ,Nb
въ,R-
житьницѫ,Nb
а,C-
плѣвꙑ,Nb
съжежетъ,V-
огн҄емь,Nb
негасимъꙇмь,V-
тогда,Df
приде,V-
ис҃,Ne
отъ,R-
галилеѩ,Ne
на,R-
ꙇор'данъ,Ne
къ,R-
ꙇоӑноу,Ne
крьстити,V-
сѧ,Pk
отъ,R-
н҄его,Pp
ꙇо̆анъ,Ne
же,Df
възбран҄ѣше,V-
емоу,Pp
гл҃ѧ,V-
азъ,Pp
трѣбоуѭ,V-
отъ,R-
тебе,Pp
крьстити,V-
сѧ,Pk
а,C-
тꙑ,Pp
л҃и҃,Df
къ,R-
мнѣ,Pp
грѧдеши,V-
отъвѣштавъ,V-
же,Df
ис҃,Ne
рече,V-
къ,R-
н҄емоу,Pp
остани,V-
нꙑн҄ѣ,Df
тако,Df
бо,Df
подобьно,A-
намъ,Pp
естъ,V-
съкончати,V-
всѣкѫ̆,A-
правъдѫ,Nb
тогда,Df
остави,V-
его,Pp
крьшть,V-
сѧ,Pk
ис҃,Ne
ꙇ,C-
възиде,V-
отъ,R-
водꙑ,Nb
ꙇ,C-
се,I-
отвръзошѧ,V-
сѧ,Pk
емоу,Pp
ꙇ,C-
видѣ,V-
дх҃ъ,Nb
бж҃іи,A-
съxодѧшть,V-
ѣко,Df
голѫбь,Nb
ꙇ,C-
грѧдѫшть,V-
на,R-
н҄ь,Pp
ꙇ,C-
се,I-
гласъ,Nb
съ,R-
нб҃се,Nb
гл҃ѧ,V-
сь,Pd
естъ,V-
сн҃ъ,Nb
мои,Ps
възл҄юбл҄енъꙇ,V-
о,R-
немь,Pp
же,Df
благов[о]лиxъ,V-
тогда,Df
ис҃,Ne
възведенъ,V-
бꙑстъ,V-
дх҃омь,Nb
въ,R-
поустꙑн҄ѭ,Nb
ꙇскоусити,V-
сѧ,Pk
отъ,R-
неприѣзни,Nb
ꙇ,C-
пошть,V-
сѧ,Pk
дьниі,Nb
к҃,Ma
ꙇ,C-
ноштиі,Nb
послѣдь,Df
възлака,V-
Ꙇ,C-
пристѫпи,V-
къ,R-
н҄емоу,Pp
диѣволъ,Nb
ꙇскоушаѩ,V-
и,Pp
ꙇ,C-
рече,V-
аште,G-
сн҃ъ,Nb
еси,V-
бж҃іи,A-
рьци,V-
да,G-
камение,Nb
се,Pd
xлѣби,Nb
бѫдѫтъ,V-
о̆нъ,Pd
же,Df
отъвѣштавъ,V-
рече,V-
пишетъ,V-
не,Df
о,R-
xлѣбѣ,Nb
единомь,Ma
поживетъ,V-
чк҃ъ,Nb
нъ,C-
о̆,R-
всемь,Px
гл҃ѣ,Nb
ꙇсxодѧштиімь,V-
ꙇз,R-
оустъ,Nb
бж҃іи,A-
тогда,Df
поѩтъ,V-
і,Pp
диѣволъ,Nb
вь,R-
ст҃ъꙇ,A-
градъ,Nb
ꙇ,C-
постави,V-
і,Pp
на,R-
крилѣ,Nb
црък'вьнѣемь,A-
ꙇ,C-
гл҃а,V-
емоу,Pp
аште,G-
сн҃ъ,Nb
еси,V-
бж҃іи,A-
поусти,V-
себе,Pk
долоу,Df
пишетъ,V-
бо,Df
ѣко,G-
аꙉл҃омъ,Nb
своимъ,Pt
заповѣстъ,V-
о,R-
тебѣ,Pp
ꙇ,C-
на,R-
рѫкаxъ,Nb
възъмѫтъ,V-
тѧ,Pp
да,G-
не,Df
когда,Df
прѣтъкнеши,V-
о,R-
камен??,Nb
ногѫ,Nb
своѫ,Pt
Рече,V-
же,Df
емоу,Pp
ис҃,Ne
пакꙑ,Df
пишетъ,V-
не,Df
ꙇскоусиши,V-
г҃а,Nb
б҃а,Nb
своего,Pt
пакꙑ,Df
поѩтъ,V-
его,Pp
неприѣзнь,Nb
на,R-
горѫ,Nb
вꙑсокѫ,A-
ꙃѣло,Df
ꙇ,C-
показа,V-
емоу,Pp
вьсѣ,Px
цр҃ствиѣ,Nb
мира,Nb
ꙇ,C-
славѫ,Nb
его,Pp
ꙇ,C-
гл҃а,V-
емоу,Pp
вьсѣ,Px
си,Pd
дамь,V-
ти,Pd
аште,G-
падъ,V-
поклониши,V-
ми,Pp
сѧ,Pk
тогда,Df
гл҃а,V-
емоу,Pp
ис҃,Ne
отиди,V-
диѣвол҄е,Ne
пишетъ,V-
бо,Df
г҃ю,Nb
б҃ѵ,Nb
своемоу,Pt
поклониши,V-
сѧ,Pk
ꙇ,C-
томоу,Pd
единомоу,Ma
послоужиши,V-
тогда,Df
остави,V-
его,Pp
диѣволъ,Nb
ꙇ,C-
се,I-
аꙉл҃и,Nb
пристѫпишѧ,V-
ꙇ,C-
слоужааxѫ,V-
емоу,Pp
Слꙑшавъ,V-
же,Df
ис҃,Ne
ѣко,G-
ꙇоӑнъ,Ne
прѣданъ,V-
бꙑстъ,V-
отиде,V-
въ,R-
галилеѭ,Ne
ꙇ,C-
оставь,V-
назаретъ,Ne
пришедъ,V-
вьсели,V-
сѧ,Pk
въ,R-
каперьнаоумъ,Ne
на,R-
поморие,Nb
въ,R-
область,Nb
завѵлон҄ѭ,A-
ꙇ,C-
невъф'талимл҄ѭ,A-
да,G-
съконьчаатъ,V-
сѧ,Pk
реченое,V-
ꙇсаꙇемь,Ne
пророкомь,Nb
гл҃ѭштем??,V-
земл҄ѣ,Nb
завѵлон҄ѣ,A-
земл҄ѣ,Nb
невъф'талимл҄ѣ,A-
пѫть,Nb
морѣ,Nb
на,R-
ономь,Pd
полоу,Nb
ꙇор'да??,Ne
галилеѣ,Ne
ѩзꙑкомъ,Nb
люди,Nb
сѣдѧштиі,V-
въ,R-
тъмѣ,Nb
видѣшѧ,V-
свѣтъ,Nb
велиі,A-
ꙇ,C-
сѣдѧштиімъ,V-
въ,R-
тъмѣ,Nb
ꙇ,C-
въ,R-
сѣни,Nb
съмрътьнѣ,A-
свѣтъ,Nb
въсиѣетъ,V-
на,R-
насъ,Pp
Ѡтъ толи,Df
начѧтъ,V-
ис҃,Ne
проповѣдати,V-
ꙇ,C-
гл҃ати,V-
покаꙇте,V-
сѧ,Pk
приближи,V-
бо,Df
сѧ,Pk
цр҃ствие,Nb
нб҃ское,A-
xодѧ,V-
же,Df
при,R-
мори,Nb
галилѣꙇсцѣмь,A-
видѣ,V-
дъва,Ma
братра,Nb
симона,Ne
нарицаѭштааго,V-
сѧ,Pk
петра,Ne
ꙇ,C-
ан'дрѣѭ,Ne
братра,Nb
его,Pp
въмѣтаѭшта,V-
мрѣжѧ,Nb
въ,R-
море,Nb
бѣашете,V-
бо,Df
рꙑбарѣ,Nb
ꙇ,C-
гл҃а,V-
ꙇма,Pp
грѧдѣта,V-
въ,R-
слѣдъ,Nb
мене,Pp
ꙇ,C-
сътвор҄ѭ,V-
вꙑ,Pp
чк҃омъ,Nb
