тъ,Pd-s---mn--i
васъ,Pp2p---qg--i
крьститъ,V-3spia----i
дх҃омь,Nb-s---mi--i
ст҃ъꙇмь,A--s---oipwi
ꙇ,C----------n
огн҄емь,Nb-s---mi--i
Емоуже,Pr-s---md--i
лопата,Nb-s---fn--i
въ,R----------n
рѫкоу,Nb-d---fl--i
его,Pp3s---og--i
ꙇ,C----------n
потрѣбитъ,V-3spia----i
гоумъно,Nb-s---na--i
свое,Pt3s---na--i
ꙇ,C----------n
съберетъ,V-3spia----i
пьшеницѫ,Nb-s---fa--i
въ,R----------n
житьницѫ,Nb-s---fa--i
а,C----------n
плѣвꙑ,Nb-p---fa--i
съжежетъ,V-3spia----i
огн҄емь,Nb-s---mi--i
негасимъꙇмь,V--spppmi-wi
тогда,Df---------n
приде,V-3saia----i
ис҃,Ne-s---mn--i
отъ,R----------n
галилеѩ,Ne-s---fg--i
на,R----------n
ꙇор'данъ,Ne-s---ma--i
къ,R----------n
ꙇоӑноу,Ne-s---md--i
крьстити,V---pna----i
сѧ,Pk3s---qa--i
отъ,R----------n
н҄его,Pp3s---mg--i
ꙇо̆анъ,Ne-s---mn--i
же,Df---------n
възбран҄ѣше,V-3siia----i
емоу,Pp3s---od--i
гл҃ѧ,V--sppamn-si
азъ,Pp1s---mn--i
трѣбоуѭ,V-1spia----i
отъ,R----------n
тебе,Pp2s---mg--i
крьстити,V---pna----i
сѧ,Pk3s---qa--i
а,C----------n
тꙑ,Pp2s---mn--i
л҃и҃,Df---------n
къ,R----------n
мнѣ,Pp1s---md--i
грѧдеши,V-2spia----i
отъвѣштавъ,V--supamn-si
же,Df---------n
ис҃,Ne-s---mn--i
рече,V-3saia----i
къ,R----------n
н҄емоу,Pp3s---md--i
остани,V-2spma----i
нꙑн҄ѣ,Df---------n
тако,Df---------n
бо,Df---------n
подобьно,A--s---nnpsi
намъ,Pp1p---qd--i
естъ,V-3spia----i
съкончати,V---pna----i
всѣкѫ̆,A--s---fapsi
правъдѫ,Nb-s---fa--i
тогда,Df---------n
остави,V-3saia----i
его,Pp3s---mg--i
крьшть,V--supamn-si
сѧ,Pk3s---qa--i
ис҃,Ne-s---mn--i
ꙇ,C----------n
възиде,V-3saia----i
отъ,R----------n
водꙑ,Nb-s---fg--i
ꙇ,C----------n
се,I----------n
отвръзошѧ,V-3paia----i
сѧ,Pk3s---qa--i
емоу,Pp3s---md--i
ꙇ,C----------n
видѣ,V-3saia----i
дх҃ъ,Nb-s---ma--i
бж҃іи,A--s---mapsi
съxодѧшть,V--sppama-si
ѣко,Df---------n
голѫбь,Nb-s---mn--i
ꙇ,C----------n
грѧдѫшть,V--sppama-si
на,R----------n
н҄ь,Pp3s---ma--i
ꙇ,C----------n
се,I----------n
гласъ,Nb-s---mn--i
съ,R----------n
нб҃се,Nb-s---ng--i
гл҃ѧ,V--sppamn-si
сь,Pd-s---mn--i
естъ,V-3spia----i
сн҃ъ,Nb-s---mn--i
мои,Ps1s---mn--i
възл҄юбл҄енъꙇ,V--suppmn-wi
о,R----------n
немь,Pp3s---ml--i
же,Df---------n
благов[о]лиxъ,V-1saia----i
тогда,Df---------n
ис҃,Ne-s---mn--i
възведенъ,V--suppmn-si
бꙑстъ,V-3saia----i
дх҃омь,Nb-s---mi--i
въ,R----------n
поустꙑн҄ѭ,Nb-s---fa--i
ꙇскоусити,V---pna----i
сѧ,Pk3s---qa--i
отъ,R----------n
неприѣзни,Nb-s---fg--i
ꙇ,C----------n
пошть,V--supamn-si
сѧ,Pk3s---qa--i
дьниі,Nb-p---mg--i
к҃,Ma-s---mn--i
ꙇ,C----------n
ноштиі,Nb-p---ng--i
послѣдь,Df---------n
възлака,V-3saia----i
Ꙇ,C----------n
пристѫпи,V-3saia----i
къ,R----------n
н҄емоу,Pp3s---md--i
диѣволъ,Nb-s---mn--i
ꙇскоушаѩ,V--sppamn-si
и,Pp3s---ma--i
ꙇ,C----------n
рече,V-3saia----i
аште,G----------n
сн҃ъ,Nb-s---mn--i
еси,V-2spia----i
бж҃іи,A--s---mapsi
рьци,V-2spma----i
да,G----------n
камение,Nb-s---nn--i
се,Pd-s---nn--i
xлѣби,Nb-p---mn--i
бѫдѫтъ,V-3pfia----i
о̆нъ,Pd-s---mn--i
же,Df---------n
отъвѣштавъ,V--supamn-si
рече,V-3saia----i
пишетъ,V-3spia----i
не,Df---------n
о,R----------n
xлѣбѣ,Nb-s---ml--i
единомь,Ma-s---ol--i
поживетъ,V-3spia----i
чк҃ъ,Nb-s---mn--i
нъ,C----------n
о̆,R----------n
всемь,Px-s---ml--i
гл҃ѣ,Nb-s---ml--i
ꙇсxодѧштиімь,V--sppaml-wi
ꙇз,R----------n
оустъ,Nb-p---ng--i
бж҃іи,A--p---qgpsi
тогда,Df---------n
поѩтъ,V-3saia----i
і,Pp3s---ma--i
диѣволъ,Nb-s---mn--i
вь,R----------n
ст҃ъꙇ,A--s---mapwi
градъ,Nb-s---ma--i
ꙇ,C----------n
постави,V-3saia----i
і,Pp3s---ma--i
на,R----------n
крилѣ,Nb-s---nl--i
црък'вьнѣемь,A--s---nlpwi
ꙇ,C----------n
гл҃а,V-3saia----i
