остави,2spma----i
тоу,---------n
даръ,-s---ma--i
твои,2s---ma--i
прѣдъ,---------n
олътаремъ,-s---mi--i
ꙇ,---------n
шедъ,-supamn-si
прѣжде,---------n
съмири,3spma----i
сѧ,3s---qa--i
съ,---------n
братромъ,-s---mi--i
своимъ,3s---oi--i
и,---------n
тогда,---------n
пришедъ,-supamn-si
принеси,2spma----i
даръ,-s---ma--i
твои,2s---ma--i
Бѫди,2spma----i
оувѣщаѩ,-sppamn-si
сѧ,3s---qa--i
съ,---------n
сѫпьремь,-s---mi--i
своимь,3s---oi--i
скоро,-------p-i
доньдеже,---------n
еси,2spia----i
на,---------n
пѫти,-s---ml--i
съ,---------n
нимь,3s---mi--i
да,---------n
не,---------n
прѣдастъ,3spia----i
тебе,2s---pg--i
сѫдии,-s---md--i
ꙇ,---------n
сѫдии,-s---mn--i
тѧ,2s---pa--i
прѣдастъ,3spia----i
слоуѕѣ,-s---md--i
ꙇ,---------n
въ,---------n
темьницѫ,-s---fa--i
въвръжетъ,3spia----i
тѧ,2s---pa--i
аминь,---------n
г҃лѭ,1spia----i
тебѣ,2s---md--i
не,---------n
изидеши,3spia----i
отъ тѫдѣ,---------n
доньдеже,---------n
въздаси,2spia----i
послѣдьнии,-s---mapti
кодрантъ,-s---ma--i
Слꙑшасте,2paia----i
ѣко,---------n
речено,-suppnn-si
бꙑⷭ҇,3saia----i
древънимъ,-p---mdpwi
не,---------n
прѣлюбꙑ,-s---fa--i
сътвориши,2spia----i
азъ,1s---mn--i
же,---------n
г҃лѭ,1spia----i
вамъ,2p---md--i
ѣко,---------n
вьсѣкъ,-s---mnpsi
иже,-s---mn--i
вьзьритъ,3spia----i
на,---------n
женѫ,-s---fa--i
съ,---------n
похотиѭ,-s---fi--i
юже,---------n
любꙑ,-s---fa--i
сътвори,3saia----i
съ,---------n
неѭ,3s---fi--i
въ,---------n
с҃рдци,-s---nl--i
своемь,3s---ol--i
аще,---------n
же,---------n
око,-s---nn--i
твое,2s---nn--i
десное,-s---nnpwi
съблажнаатъ,3spia----i
тѧ,2s---ma--i
ꙇзьми,2spma----i
е,3s---na--i
и,---------n
връзи,2spma----i
отъ,---------n
тебе,2s---mg--i
оунѣе,-s---nncsi
бо,---------n
ти,2s---md--i
естъ,3spia----i
да,---------n
погꙑблетъ,3spia----i
единъ,-s---mn--i
оудъ,-p---mg--i
твоихъ,2p---mg--i
а,---------n
не,---------n
вьсе,-s---nn--i
тѣло,-s---nn--i
твое,2s---nn--i
въвръжено,-suppnn-si
бѫдетъ,3sfia----i
въ,---------n
ꙉеонѫ,-s---fa--i
ꙇ,---------n
аште,---------n
десна,-s---fnpsi
твоѣ,2s---fn--i
рѫка,-s---fn--i
съблажнаатъ,3spia----i
тѧ,2s---ma--i
оусѣци,2spma----i
ѭ,3s---fa--i
и,---------n
връзи,2spma----i
отъ,---------n
себе,3s---qg--i
оунѣе,-s---nncsi
бо,---------n
ти,2s---md--i
естъ,3spia----i
да,---------n
погꙑблетъ,3spia----i
единъ,-s---mn--i
оудъ,-p---mg--i
твоихъ,2p---qg--i
а,---------n
не,---------n
вьсе,-s---nn--i
тѣло,-s---nn--i
твое,2s---nn--i
идетъ,3spia----i
въ,---------n
ꙉеонѫ,-s---fa--i
речено,-suppnn-si
же,---------n
бꙑстъ,3saia----i
ꙇже,-s---mn--i
аште,---------n
поуститъ,3spia----i
женѫ,-s---fa--i
своѭ,3s---fa--i
да,---------n
дастъ,3spia----i
еи,3s---fd--i
кънигꙑ,-p---fa--i
распоустънꙑѩ,-p---papwi
азъ,1s---mn--i
же,---------n
г҃лѭ,1spia----i
вамъ,2p---md--i
ѣко,---------n
вьсѣкъ,-s---mnpsi
поуштаѩи,-sppamn-wi
женѫ,-s---fa--i
своѭ,3s---fa--i
развѣ,---------n
словесе,-s---ng--i
любодѣинааго,-s---ogpwi
творитъ,3spia----i
ѭ,3s---fa--i
прѣлюбꙑ,-s---fa--i
дѣати,--pna----i
ꙇ,---------n
иже,-s---mn--i
подъпѣгѫ,-s---fa--i
поемлетъ,3spia----i
прѣлюбꙑ,-s---fa--i
творитъ,3spia----i
пакꙑ,---------n
слꙑшасте,2paia----i
ѣко,---------n
речено,-suppnn-si
бꙑⷭ҇,3saia----i
древьниимъ,-p---mdpwi
не,---------n
въ,---------n
лъжѫ,-s---fa--i
клънеши,2spia----i
сѧ,3s---qa--i
въздаси,2spia----i
же,---------n
г҃ви,-s---md--i
клѧтвꙑ,-p---fa--i
твоѩ,2p---pa--i
азъ,1s---mn--i
же,---------n
г҃лѭ,1spia----i
вамъ,2p---md--i
не,---------n
клѧти,--pna----i
сѧ,3s---qa--i
отънѫдъ,---------n
ни,---------n
н҃бмь,-s---ni--i
ѣко,---------n
прѣстолъ,-s---mn--i
естъ,3spia----i
б҃жии,-s---mnpsi
ни,---------n
землеѭ҄,-s---fi--i
ѣко,---------n
подъножие,-s---nn--i
естъ,3spia----i
ногама,-d---fd--i
его,3s---mg--i
ни,---------n
и҃ерслмъмъ,-s---mi--i
ѣко,---------n
гⷬ҇дъ,-s---mn--i
естъ,3spia----i
великааго,-s---ogpwi
ц҃срѣ,-s---mg--i
ни,---------n
главоѭ,-s---fi--i
своеѭ,3s---fi--i
клъни,2spma----i
сѧ,3s---qa--i
ѣко,---------n
не,---------n
можеши,2spia----i
власа,-s---mg--i
единого,-s---og--i
бѣла,-s---ogpsi
ли,---------n
чръна,-s---ogpsi
сътворити,--pna----i
бѫди,3spma----i
же,---------n
слово,-s---nn--i
ваше,2s---nn--i
еи,---------n
ей,---------n
ꙇ҅,---------n
ни,---------n
ни,---------n
лихое,-s---nnpwi
бо,---------n
сеѭ,-d---ng--i
отъ,---------n
неприѣзни,-s---fg--i
естъ,3spia----i
Слꙑшасте,2paia----i
ѣко,---------n
речено,-suppnn-si
бꙑⷭ҇,3saia----i
око,-s---na--i
за,---------n
око,-s---na--i
и,---------n
зѫбъ,-s---ma--i
за,---------n
зѫбъ,-s---ma--i
азъ,1s---mn--i
же,---------n
г҃лѭ,1spia----i
вамъ,2p---md--i
не,---------n
противити,--pna----i
сѧ,3s---qa--i
зълоу,-s---mdpwi
Нъ,---------n
аще,---------n
кто,-s---qn--i
тѧ,2s---ma--i
оударитъ,3spia----i
въ,---------n
деснѫѭ,-s---fapwi
ланитѫ,-s---fa--i
обрати,2spma----i
емоу,3s---md--i
и,---------n
дроугѫѭ҄,-s---fapwi
ꙇ,---------n
хотѧщоумоу,-sppamd-wi
сѫдъ,-s---ma--i
приѩти,--pna----i
съ,---------n
тобоѭ,2s---qi--i
и,---------n
ризѫ,-s---fa--i
твоѭ,2s---fa--i
възѧти,--pna----i
отъпоусти,2spma----i
емоу,3s---md--i
и,---------n
срачицѫ,-s---fa--i
твоѭ,2s---fa--i
и,---------n
аще,---------n
къто,-s---qn--i
поиметъ,3spia----i
тѧ,2s---qa--i
по,---------n
силѣ,-s---fd--i
попьрище,-s---na--i
едино,-s---na--i
ꙇди,2spma----i
съ,---------n
нимь,3s---mi--i
дьвѣ,-d---na--i
Просѧштоумоу,-sppamd-wi
оу,---------n
тебе,2s---qg--i
даи,2spma----i
ꙇ,---------n
хотѧштаго,-sppamg-wi
отъ,---------n
тебе,2s---qg--i
заѩти,--pna----i
не,---------n
отъврати,2spma----i
слꙑшасте,2paia----i
ѣко,---------n
речено,-suppnn-si
естъ,3spia----i
възлюбиши,2spia----i
искрьнѣго,-s---mgpwi
своего,3s---og--i
ꙇ,---------n
вьзненавидиши,2spia----i
врага,-s---mg--i
своего,3s---og--i
азъ,1s---qn--i
же,---------n
г҃лѭ,1spia----i
вамъ,2p---qd--i
любите,2ppma----i
врагꙑ,-p---ma--i
вашѧ,2p---pa--i
б҃лагслвите,2ppma----i
клънѫштѧѩ,-pppama-wi
вꙑ,2p---qa--i
добро,-s---napsi
творите,2ppma----i
ненавидѧштиимъ,-pppamd-wi
васъ,2p---qg--i
ꙇ,---------n
молите,2ppma----i
за,---------n
творѧщѧѩ,-pppama-wi
вамъ,2p---qd--i
напасти,-p---fa--i
и,---------n
изгонѧщѧѩ,-pppama-wi
вꙑ,2p---qa--i
да,---------n
бѫдете,2pfia----i
с҃нве,-p---mn--i
о҃тца,-s---mg--i
вашего,2s---og--i
иже,-s---mn--i
естъ,3spia----i
на,---------n
н҃ебсхъ,-p---nl--i
ѣко,---------n
слъньце,-s---na--i
свое,3s---na--i
сьѣатъ,3spia----i
на,---------n
зълꙑ,-p---mapsi
и,---------n
благꙑ,-p---mapsi
ꙇ҅,---------n
дъждитъ,3spia----i
на,---------n
праведънꙑ,-p---mapsi
и,---------n
на,---------n
неправедънꙑ,-p---mapsi
аще,---------n
бо,---------n
любите,2ppia----i
любѧщѧѩ,-pppama-wi
вꙑ,2p---qa--i
кѫѭ҄,-s---fa--i
мъздѫ,-s---fa--i
имате,2ppia----i
не,---------n
и,---------n
мꙑтаре,-p---mn--i
ли,---------n
тожде,-s---na--i
творѧтъ,3ppia----i
ꙇ,---------n
аще,---------n
цѣлоуете,2ppia----i
дроугꙑ,-p---ma--i
вашѧ,2p---pa--i
токъмо,---------n
что,-s---na--i
лихо,-s---napsi
творите,2ppia----i
не,---------n
и,---------n
мꙑтаре,-p---mn--i
ли,---------n
тако,---------n
творѧтъ,3ppia----i
бѫдѣте,2ppma----i
оубо,---------n
вꙑ,2p---qn--i
съвръшени,-p---mnpsi
ѣко,---------n
и,---------n
отецъ,-s---mn--i
вашъ,2s---mn--i
н҃бскꙑ,-s---mnpwi
съвръшенъ,-s---mnpsi
естъ,3spia----i
Вьнемлѣте,2ppma----i
милостꙑнѧ,-s---fg--i
вашеѩ,2s---fg--i
не,---------n
творити,--pna----i
прѣдъ,---------n
ч҃лвкꙑ,-p---mi--i
да,---------n
видими,-ppppmn-si
бѫдете,2pfia----i
ими,3p---mi--i
аште,---------n
ли,---------n
же,---------n
ни,---------n
мъздꙑ,-s---fg--i
не,---------n
имате,2ppia----i
отъ,---------n
о҃тца,-s---mg--i
вашего,2s---og--i
иже,-s---mn--i
естъ,3spia----i
на,---------n
н҃бсхъ,-p---nl--i
егда,---------n
оубо,---------n
твориши,2spia----i
милостꙑнѭ҄,-s---fa--i
не,---------n
въстрѫби,2spma----i
прѣдъ,---------n
собоѭ҄,3s---qi--i
ѣко,---------n
ѵпокрити,-p---mn--i
творѧтъ,3ppia----i
въ,---------n
съньмиштихъ,-p---nl--i
и,---------n
въ,---------n
стъгнахъ,-p---fl--i
да,---------n
прославѧтъ,3ppia----i
сѧ,3s---qa--i
отъ,---------n
ч҃лвкъ,-p---mg--i
аминь,---------n
г҃лѭ,1spia----i
вамъ,2p---qd--i
вьсприимѫтъ,3ppia----i
мъздѫ,-s---fa--i
своѭ҄,3s---fa--i
Тебѣ,2s---qd--i
же,---------n
творѧщю,-sppamd-si
милостꙑнѭ,-s---fa--i
да,---------n
не,---------n
чюетъ,3spia----i
шюица,-s---fn--i
твоѣ,2s---fn--i
чьто,-s---na--i
творитъ,3spia----i
десꙿница,-s---fn--i
твоѣ,2s---fn--i
да,---------n
бѫдетъ,3sfia----i
милостꙑни,-s---fn--i
твоѣ,2s---fn--i
въ,---------n
таинѣ,-s---fl--i
и,---------n
о҃тцъ,-s---mn--i
твои,2s---mn--i
видѧи,-sppamn-wi
въ,---------n
таинѣ,-s---fl--i
въздастъ,3spia----i
тебѣ,2s---qd--i
авѣ,---------n
ꙇ҅,---------n
егда,---------n
молиши,2spia----i
сѧ,3s---qa--i
не,---------n
бѫди,2spma----i
ѣко,---------n
и,---------n
лицемѣри,-p---mn--i
ѣко,---------n
любѧтъ,3ppia----i
на,---------n
сонъмиштихъ,-p---nl--i
и,---------n
въ,---------n
стъгнахъ,-p---fl--i
и,---------n
на,---------n
распѫтихъ,-p---nl--i
стоѩште,-pppamn-si
молити,--pna----i
сѧ,3s---qa--i
да,---------n
ѣвѧтъ,3ppia----i
сѧ,3s---qa--i
чловѣкомъ,-p---md--i
аминь,---------n
г҃лѭ,1spia----i
вамъ,2p---qd--i
ѣко,---------n
въсприемлѭтъ,3ppia----i
мъздѫ,-s---fa--i
своѭ҄,3s---fa--i
тꙑ,2s---qn--i
же,---------n
егда,---------n
молиши,2spia----i
сѧ,3s---qa--i
въниди,2spma----i
въ,---------n
клѣть,-s---fa--i
твоѭ,2s---fa--i
и,---------n
затвори,2spma----i
двьри,-p---fa--i
твоѩ,2p---pa--i
помоли,2spma----i
сѧ,3s---qa--i
о҃тцоу,-s---md--i
твоемоу,2s---od--i
въ,---------n
таинѣ,-s---fl--i
ꙇ҅,---------n
о҃тцъ,-s---mn--i
твои,2s---mn--i
видѧи,-sppamn-wi
въ,---------n
таинѣ,-s---fl--i
въздастъ,3spia----i
тебѣ,2s---qd--i
авѣ,---------n
Молѧще,-pppamn-si
же,---------n
сѧ,3s---qa--i
не,---------n
лихо,-s---napsi
г҃лте,2ppma----i
ѣкоже,---------n
и,---------n
ѩзꙑчъници,-p---mn--i
мьнѧтъ,3ppia----i
бо,---------n
сѧ,3s---qa--i
ѣко,---------n
во,---------n
мъноѕѣ,-s---qlpsi
г҃лни,-s---nl--i
своемь,3s---ol--i
оуслꙑшани,-puppmn-si
бѫдѫтъ,3pfia----i
не,---------n
подобите,2ppma----i
сѧ,3s---qa--i
оубо,---------n
имъ,3p---md--i
вѣстъ,3spia----i
бо,---------n
отецъ,-s---mn--i
вашъ,2s---mn--i
ихъже,-p---ng--i
трѣбоуете,3ppia----i
прѣжде,---------n
прошениѣ,-s---ng--i
вашего,2s---og--i
тако,---------n
оубо,---------n
молите,2ppma----i
вꙑ,2p---qn--i
сѧ,3s---qa--i
Ѡ҅тьче,-s---mv--i
нашъ,1s---mv--i
иже,-s---mn--i
си,2spia----i
на,---------n
н҃бсхъ,-p---nl--i
да,---------n
с҃вт,3spia----i
сѧ,3s---qa--i
имѧ,-s---nn--i
твое,2s---nn--i
да,---------n
придетъ,3spia----i
ц҃срествие,-s---nn--i
твое,2s---nn--i
да,---------n
бодетъ,3sfia----i
волѣ,-s---fn--i
твоѣ,2s---fn--i
ѣко,---------n
на,---------n
н҃бси,-s---nl--i
и,---------n
на,---------n
земи,-s---fl--i
хлѣбъ,-s---ma--i
нашъ,1s---ma--i
наставъшааго,-supaog-wi
дьне,-s---mg--i
даждъ,2spma----i
намъ,1p---qd--i
дънесь,---------n
ꙇ,---------n
отъпоусти,2spma----i
намъ,1p---qd--i
длъгꙑ,-p---ma--i
нашѧ,1p---pa--i
ѣко,---------n
и,---------n
мꙑ,1p---qn--i
отъпоуштаемъ,1ppia----i
длъжъникомъ,-p---md--i
нашимъ,1p---qd--i
ꙇ,---------n
не,---------n
вьведи,2spma----i
насъ,1p---qg--i
въ,---------n
напасть,-s---fa--i
нь,---------n
избави,2spma----i
нꙑ,1p---qa--i
отъ,---------n
неприѣзни,-s---fg--i
ѣко,---------n
твое,2s---nn--i
естъ,3spia----i
ц҃срствие,-s---nn--i
ꙇ,---------n
сила,-s---fn--i
и,---------n
слава,-s---fn--i
вь,---------n
вѣкꙑ,-p---ma--i
аминь,---------n
Аще,---------n
оубо,---------n
отъпоущаете,3ppia----i
ч҃лвкмъ,-p---md--i
съгрѣшениѣ,-p---na--i
ихъ,3p---mg--i
отъпоуститъ,3spia----i
и,---------n
вамъ,2p---qd--i
о҃тцъ,-s---mn--i
вашъ,2s---mn--i
н҃ебескꙑ,-s---mnpwi
аште,---------n
ли,---------n
не,---------n
отъпоущаете,3ppia----i
ч҃лвкомъ,-p---md--i
съгрѣшени,-p---ng--i
ихъ,3p---mg--i
ни,---------n
о҃тцъ,-s---mn--i
вашъ,2s---mn--i
отъпоуститъ,3spia----i
съгрѣшении,-p---ng--i
вашихъ,2p---qg--i
егда,---------n
же,---------n
постите,2ppia----i
сѧ,3s---qa--i
не,---------n
бѫдѣте,2ppma----i
ѣко,---------n
и,---------n
ѵ҅покрити,-p---mn--i
просмраждаѭтъ,3ppia----i
бо,---------n
лица,-p---na--i
своѣ,3p---na--i
да,---------n
бѫ,3ppsa----i
сѧ,3s---qa--i
авили,-pspamn-si
ч҃лвкомъ,-p---md--i
постѧще,-pppamn-si
аминъ,---------n
г҃лѭ,1spia----i
вамъ,2p---qd--i
ѣко,---------n
въсприемлѭтъ,3ppia----i
мъздѫ,-s---fa--i
своѭ҄,3s---fa--i
тꙑ,2s---qn--i
же,---------n
постѧ,-sppamn-si
сѧ,3s---qa--i
помажи,2spma----i
главѫ,-s---fa--i
своѭ҄,3s---fa--i
ꙇ,---------n
лице,-s---na--i
твое,2s---na--i
оумꙑи,2spma----i
да,---------n
не,---------n
авиши,2spia----i
сѧ,3s---qa--i
ч҃лвкмъ,-p---md--i
постѧ,-sppamn-si
сѧ,3s---qa--i
нъ,---------n
отъцоу,-s---md--i
твоемоу,2s---od--i
иже,-s---mn--i
естъ,3spia----i
въ,---------n
таинѣ,-s---fl--i
ꙇ,---------n
о҃тцъ,-s---mn--i
твои,2s---mn--i
видѧи,-sppamn-wi
въ,---------n
таинѣ,-s---fl--i
въздастъ,3spia----i
тебѣ,2s---qd--i
ѣвѣ,---------n
Не,---------n
съкрꙑваите,2ppma----i
себѣ,3s---qd--i
съкровишта,-p---na--i
на,---------n
земи,-s---fl--i
ꙇ҅деже,---------n
чръвъ,-s---mn--i
и,---------n
тьлѣ,-s---fn--i
тьлитъ,3spia----i
ꙇ҅деже,---------n
татие,-p---mn--i
подъкопаваѭ҄тъ,3ppia----i
й,---------n
крадѫтъ,3ppia----i
съкрꙑваите,2ppma----i
же,---------n
себѣ,3s---qd--i
съкровишта,-p---na--i
н҃бсе,-s---nl--i
ꙇдеже,---------n
ни,---------n
чръвь,-s---mn--i
ни,---------n
тьлѣ,-s---fn--i
