tokno|orv_word_torot|lemma_id|lemma_orv|text_title|subtitle|sentence_no|sentence_txt
8703|моляше|118|молити|The Life of Avvakum|3|288141|ꙇ моляше с бг҃у да же сочетает ся за меня совокуплением брачным 
14291|ꙇсхождаху|603|исходити|The Life of Avvakum|17|288968|ꙇ за мл҃твъ ст҃ых ѿц҃ъ ꙇсхождаху ѿ нихъ бѣси. дѣиством и повелѣнием бг҃а живаго. ꙇ гд҃а нашего ꙇс҃а х҃а сн҃а бж҃ия. свѣта. 
14323|ѿгоняше|5427|отъгоняти|The Life of Avvakum|17|288970|ꙇ сила бж҃ия ѿгоняше ѿ чл҃вѣкъ бѣсы. 
29157|прихождаху|244|приходити|The Life of Avvakum|61|291157|мнози же ѿ вѣровавших прихождаху. ꙇсповѣдующе ꙇ сказующе дѣла своя. 
29972|мълвлѧше|427|мълвити|Birchbark letters|605|255103|а соромъ ми оже ми лихо мълвлѧше 
31221|составлѧхꙋ|2662|съставляти|Burtsov’s alphabet|Preface|312419|ѡни же мнози дрꙋгъ по дрꙋгꙋ бывахꙋ и не единым временем но мнѡгим составлѧхꙋ писмена и грамоты ѡ нихъ же в концѣ книжицы сеѧ написано сꙋть. 
33335|понꙋжаше|5838|понужати|The tale of the fall of Constantinople|The omen|279489|ц҃рь же понꙋжаше стратигъ и градскых наказателеи храмы с҃тхъ. и домы мирʼскїа създати на исплъненїе града. 
33961|хожахꙋ|129|ходити|The tale of the fall of Constantinople|The tale of the fall of Constantinople|279528|а самъ ц҃рь костѧнʼтинъ с патрїарʼхомъ анастасїемъ и съ ц҃рцею и со с҃тли. и съ всѣмъ с҃щнʼнымъ събором. и съ множествомъ женъ и дѣтеи. хожахꙋ по црквамъ бжїим. молбы и моленїе дѣюще плачюще и рыдающе. и г҃лще сице. 
34187|молѧхꙋ|118|молити|The tale of the fall of Constantinople|The tale of the fall of Constantinople|279550|сїа же инаѧ многаѧ изрекшим. такоже и пренепорочнои б҃ци ѿ среды срдца стоꙗнїе и рыданїемъ по всѧ д҃ни молѧхꙋсѧ. 
34191|ѡбьѣждаше|3453|объездити|The tale of the fall of Constantinople|The tale of the fall of Constantinople|279551|ц҃рь же ѡбьѣждаше крꙋгъ града почастꙋ оукрѣплѧа стратигъ и воиновъ. и всѣх людеи. да не ѿпадоут надежею ни ѻслабїють. съпротивленїемъ на врагы. но да оуповають на господа вседръжителѧ. 
