sqlite> select corpus.tokno, corpus.chu_word_torot, corpus.autoreconstructed_lcs, corpus.lemma_id, lemmas.lemma_ocs from corpus LEFT JOIN lemmas ON corpus.lemma_id = lemmas.lemma_id where morph_tag LIKE '__i_______' AND corpus.inflexion_class = '40' ORDER BY corpus.tokno;

tokno|chu_word_torot|autoreconstructed_lcs|lemma_id|lemma_ocs
8594|учаше|učǢaše|257|учити
8703|моляше|modĺǢaše|118|молити
14291|ꙇсхождаху|jьsxoђǢaxǫ|603|исходити
26192|блещаху|blьšћǢaxǫ|2921|бльщати
29157|прихождаху|prixoђǢaxǫ|244|приходити
29972|мълвлѧше|ml̥vĺǢaše|427|мълвити
33961|хожахꙋ|xoђǢaxǫ|129|ходити
34187|молѧхꙋ|modĺǢaxǫ|118|молити
34191|ѡбьѣждаше|obъjěžђǢaše|3453|объездити
34262|творѧхꙋ|tvoŕǢaxǫ|101|творити
34962|хранѧше|xorńǢaše|587|хранити
34968|ѡбʼхождаше|obъxoђǢaše|2042|объходити
35984|влазѧхꙋ|vъlažǢaxǫ|3457|вълазити
36582|готовлѧхꙋ|gotovĺǢaxǫ|1892|готовити
37216|оуклонѧхꙋ|uklońǢaxǫ|1777|уклонити
38197|оучаше|učǢaše|257|учити
38256|ѡбʼхожахꙋ|obъxoђǢaxǫ|2042|объходити
38834|нꙋждахꙋ|nǫђǢaxǫ|1659|нудити
39467|хранѧше|xorńǢaše|587|хранити
40485|любѧше|ĺubĺǢaše|233|любити
41097|хранѧше|xorńǢaše|587|хранити
41219|полонѧхꙋ|pelńǢaxǫ|1135|полонити
41256|вылазѧхꙋ|vylažǢaxǫ|2953|вылазити
64365|ѹчинѧше|učińǢaše|445|учинити
64776|прихождахѹ|prixoђǢaxǫ|244|приходити
65407|исхожаше|jьsxoђǢaše|603|исходити
65588|ѹслажаше|usolђǢaše|2454|усладити
65838|прихождаше|prixoђǢaše|244|приходити
65912|ѹчинѧше|učińǢaše|445|учинити
66177|каȥнѧше|kažńǢaše|724|казнити
66201|кормлѧше|kr̥mĺǢaše|537|кърмити
68968|ѣздѧху|jǢžђǢaxǫ|679|ѣздити
70658|дивлѧху|divĺǢaxǫ|1063|дивити
70827|кнѧжаше|kъnęžǢaše|576|къняжити
71122|творѧху|tvoŕǢaxǫ|101|творити
71151|мучаху|mǫčǢaxǫ|631|мучити
71376|приводѧху|privoђǢaxǫ|1003|приводити
71380|приношаху|prinošǢaxǫ|720|приносити
71445|схожаху|sъxoђǢaxǫ|1077|съходити
71478|творѧху|tvoŕǢaxǫ|101|творити
71485|творѧху|tvoŕǢaxǫ|101|творити
71489|възложахуть|vъzložǢaxǫ|464|възложити
71500|вложаху|vъložǢaxǫ|648|въложити
71505|поставѧху|postavĺǢaxǫ|128|поставити
71517|творѧху|tvoŕǢaxǫ|101|творити
72655|кнѧжаста|kъnęžǢasta|576|къняжити
74870|ношаху|nošǢaxǫ|496|носити
78073|оучашеть|učǢaše|257|учити
78091|бранѧху|borńǢaxǫ|886|бранити
78226|творѧше|tvoŕǢaše|101|творити
78286|любѧше|ĺubĺǢaše|233|любити
78322|молѧше|modĺǢaše|118|молити
78414|творѧше|tvoŕǢaše|101|творити
78420|возѧше|vožǢaše|1379|возити
79279|молѧше|modĺǢaše|118|молити
80635|молвѧше|ml̥vĺǢaše|427|мълвити
81154|льстѧху|lьšћǢaxǫ|1700|льстити
81546|любѧше|ĺubĺǢaše|233|любити
81709|привожаху|privoђǢaxǫ|1003|приводити
82246|творѧше|tvoŕǢaše|101|творити
83151|оуподоблеше|upodobĺǢaxъ|2162|уподобити
83650|славѧше|slavĺǢaše|695|славити
83653|славѧх|slavĺǢaxǫ|695|славити
84451|привожах|privoђǢaxǫ|1003|приводити
85654|судѧше|sǫђǢaše|591|судити
87220|възношаше|vъznošǢaše|2054|възносити
87404|ношаше|nošǢaše|496|носити
87692|хвалѧх|xvaĺǢaxǫ|649|хвалити
87704|хулѧше|xuĺǢaše|1785|хулити
87709|хвалѧше|xvaĺǢaše|649|хвалити
88301|ношаху|nošǢaxǫ|496|носити
88645|тужаше|tǫžǢaše|1479|тужити
89413|творѧх|tvoŕǢaxǫ|101|творити
89908|бродѧху|broђǢaxǫ|1649|бродити
89913|творѧху|tvoŕǢaxǫ|101|творити
