1,her,Df
2,onginnan,V-
3,se,Pd
4,gerecednys,Nb
5,be,R-
6,Antiochus,Ne
7,ungesælig,A-
8,cyning,Nb
9,and,C-
10,Apollonius,Ne
11,tiriscan,A-
12,an,R-
13,Antiochia,Ne
14,ceaster,Nb
15,wesan,V-
16,sum,Py
17,gehatan,V-
18,æfter,R-
19,nama,Nb
20,gecigan,V-
21,þes,Pd
22,cwen,Nb
23,weorþan,V-
24,of,R-
25,lif,Nb
26,gewitan,V-
27,he,Pp
28,habban,V-
29,an,Py
30,swiðe,Df
31,wlitig,A-
32,dohtor,Nb
33,ungelifedlic,A-
34,fægernes,Nb
35,mid,R-
36,þe,G-
37,heo,Pp
38,becuman,V-
39,to,R-
40,giftelic,A-
41,ieldo,Nb
42,þa,Df
43,gyrnan,V-
44,manig,Py
45,mære,A-
46,mann,Nb
47,micel,Py
48,mærþu,Nb
49,beodan,V-
50,gelimpan,V-
51,hit,Pp
52,sarlic,A-
53,gelimp,Nb
54,þa,G-
55,fæder,Nb
56,þencan,V-
57,hwa,Pi
58,magan,V-
59,healice,Df
60,forgifan,V-
61,gefeallan,V-
62,his,Ps
63,agen,A-
64,mod,Nb
65,on,R-
66,hire,Ps
67,lufu,Nb
68,unriht,A-
69,gewilnung,Nb
70,þæt,G-
71,forgitan,V-
72,fæderlic,A-
73,arfæstnes,Nb
74,gewilnian,V-
75,gemæcca,Nb
76,nawiht,Py
77,lange,Df
78,ne,Df
79,ildan,V-
80,ac,C-
81,dæg,Nb
82,ærmorgen,Nb
83,slæp,Nb
84,awacan,V-
85,abrecan,V-
86,into,R-
87,bur,Nb
88,þær,Df
89,inne,Df
90,licgan,V-
91,hatan,V-
92,hiredmann,Nb
93,eal,Py
94,aweg,Df
95,gan,V-
96,swilce,G-
97,wiþ,R-
98,digol,A-
99,spræc,Nb
100,sprecan,V-
101,willan,V-
102,hwæt,I-
103,manfull,A-
104,scyld,Nb
105,abisgian,V-
106,ongeanwinnende,V-
107,fæmne,Nb
108,strengðu,Nb
109,earfoðlice,Df
110,ofercom,V-
111,gefremian,V-
112,man,Nb
113,to,N-
114,bediglian,V-
115,geweorþan,V-
116,mægden,Nb
117,fostermodor,Nb
118,geseon,V-
119,sittan,V-
120,gedrefednes,Nb
121,cweþan,V-
122,hwy,Du
123,þu,Pp
124,hlæfdige,Nb
125,swa,Df
126,gedrefan,A-
