1,y,C-
2,el,S-
3,rey,Nb
4,ir,V-
5,se,Pk
6,para,R-
7,Toro,Ne
8,llevar,V-
9,consigo,Pp
10,a,R-
11,reina,Nb
12,su,Ps
13,madre,Nb
14,infante,Nb
15,don,Nb
16,Pero,Ne
17,Johán,Ne
18,Núñez,Ne
19,por,R-
20,recelo,Nb
21,que,Pr
22,tomar,V-
23,de,R-
24,él,Pp
25,razón,Nb
26,que,G-
27,partir,V-
28,este,Pd
29,avenencia,Nb
30,todo,Py
31,tres,Py
32,andar,V-
33,avenir,V-
34,sin,R-
35,ca,G-
36,tan,Df
37,grande,A-
38,pues,G-
39,lo,Pp
40,non,Df
41,hacer,V-
42,ál,Px
43,sino,Df
44,matar,V-
45,uno,Px
46,con,R-
47,otro,Px
48,estar,V-
49,en,R-
50,esto,Pd
51,llegar,V-
52,mandado,Nb
53,cómo,Du
54,encaecer,V-
55,doña,Nb
56,Constanza,Ne
57,mujer,Nb
58,hijo,Nb
59,varón,A-
60,viernes,Ne
61,trece,Py
62,día,Nb
63,agosto,Ne
64,santo,A-
65,Hipólito,Ne
66,ser,V-
67,Alfonso,Ne
68,primero,A-
69,heredero,Nb
70,Castilla,Ne
71,León,Ne
72,placer,V-
73,ende,Df
74,mucho,Df
75,temer,V-
76,criar,V-
77,María,Ne
78,así,Df
79,como,G-
80,haber,V-
81,ordenar,V-
82,tener,V-
83,bien,Df
84,dar,V-
85,crianza,Nb
86,tío,Nb
87,fincar,V-
88,enviar,V-
89,Ponce,Ne
90,decir,V-
91,le,Pp
92,querer,V-
93,ver,V-
94,poner,V-
95,muy,Df
96,pleito,Nb
97,venir,V-
98,Belver,Ne
99,allá,Df
100,consuno,Pp
101,jurar,V-
102,sobre,R-
103,cruz,Nb
104,evangelio,Nb
105,guardar,V-
106,cumplir,V-
107,cuidar,V-
108,sí,Pk
109,otro,Py
110,luego,Df
111,falleció,V-
112,dende,Df
113,Lope,Ne
114,ý,Df
115,Fernando,Ne
116,Ruiz,Ne
117,Saldaña,Ne
118,rico,A-
119,omne,Nb
120,fuerte,A-
121,contra,R-
122,cuando,G-
123,saber,V-
124,pesar,Nb
125,mandadero,Nb
126,Manuel,Ne
127,Haro,Ne
128,tal,Df
129,volver,V-
130,otrosí,Df
131,mover,V-
132,hermano,Nb
133,Ander,Ne
134,mas,C-
135,acordar,V-
136,deque,G-
137,oír,V-
138,extrañar,V-
139,ningún,Py
140,manera,Nb
141,nunca,Df
142,tal,A-
143,cosa,Nb
144,mal,Df
145,traición,Nb
146,deservicio,Nb
147,Dios,Ne
148,siempre,Df
149,comoquiera,Df
150,vegada,Nb
151,probar,V-
152,ahora,Df
153,peor,Df
154,hallar,V-
155,poder,V-
156,mudar,V-
157,encubrir,V-
158,mayor,A-
159,griesgo,Nb
160,entre,R-
161,tierra,Nb
162,Palencia,Ne
163,pedir,V-
164,merced,Nb
165,demanda,Nb
166,cabo,Nb
167,desbaratar,V-
168,aquel,Pd
169,pasar,V-
170,honra,Nb
171,ayuntamiento,Nb
172,entonces,Df
173,tratar,V-
174,casamiento,Nb
175,Aragón,Ne
176,Jaimes,Ne
177,Leonor,Ne
178,vista,Nb
179,Calatayud,Ne
180,boda,Nb
181,desposar,V-
182,edad,Nb
183,año,Nb
184,casar,V-
185,ambos,A-
186,guerra,Nb
187,moro,A-
188,cada,Py
189,parte,Nb
190,historia,Nb
191,contar,V-
192,finar,V-
193,noble,A-
194,dieciseiseno,A-
195,reinado,Nb
196,mil,Py
197,trescientos,Py
198,cuarenta,Ma
199,siete,Py
200,nacencia,Nb
201,nuestro,Ps
202,señor,Nb
203,Jesucristo,Ne
204,nueve,Py
205,Valladolid,Ne
206,mandar,V-
207,ayuntar,V-
208,allí,Df
209,bueno,A-
210,corte,Nb
211,mes,Nb
212,abril,Ne
213,servicio,Nb
214,ese,Pd
215,cinco,Py
216,un,Py
217,moneda,Nb
218,forera,A-
219,pagar,V-
220,vasallo,Nb
