en,1,En,C-,---------n
enn,2,ænn,Df,-------p-i
heldr,3,hælldr,Df,-------c-i
skulu,4,skalltu,V-,2spia----i
sá,5,þat,Pd,-s---na--i
vara,6,ꝩaraz,V-,--pnm----i
sem,7,sæm,G-,---------n
fól,8,fol,Nb,-x---na-si
kunna,9,kann,V-,3spia----i
stund,10,stunndum,Nb,-p---fd-si
at,11,at,G-,---------n
henda,12,hænnda,V-,--pna----i
at,11,at,G-,---------n
eigi,13,æigi,Df,-------p-i
margfalda,14,margfallder,V-,2spsa----i
þú,15,þu,Pp,------n--i
sá,5,þau,Pd,-p---na--i
atkvǽði,16,atkꝩæðe,Nb,-p---na-si
er,17,er,G-,---------n
til,18,til,R-,---------n
þú,15,þin,Pp,------g--i
horfa,19,horfa,V-,3ppia----i
en,1,en,C-,---------n
þú,15,þu,Pp,------n--i
einfalda,20,æinfallder,V-,2spsa----i
sá,5,þau,Pd,-p---na--i
er,17,er,G-,---------n
til,18,til,R-,---------n
konungr,21,konongsens,Nb,-s---mg-wi
horfa,19,horfa,V-,3ppia----i
en,1,En,C-,---------n
ef,22,æf,G-,---------n
œrinn,23,œrin,A-,-s---mxpsi
vera,24,er,V-,3spia----i
iorð,25,iorð,Nb,-s---fn-si
til,18,til,R-,---------n
eða,26,eða,C-,---------n
leir,27,leir,Nb,-s---nn-si
þá,28,þa,Df,-------p-i
vera,24,er,V-,3spia----i
sá,5,þat,Pd,-s---na--i
betri,29,bazt,A-,-s---nnssi
at,30,at,N-,---------n
hafa,31,haꝩa,V-,--pna----i
