1,en,C-
2,enn,Df
3,heldr,Df
4,skulu,V-
5,sá,Pd
6,vara,V-
7,sem,G-
8,fól,Nb
9,kunna,V-
10,stund,Nb
11,at,G-
12,henda,V-
13,eigi,Df
14,margfalda,V-
15,þú,Pp
16,atkvǽði,Nb
17,er,G-
18,til,R-
19,horfa,V-
20,einfalda,V-
21,konungr,Nb
22,ef,G-
23,œrinn,A-
24,vera,V-
25,iorð,Nb
26,eða,C-
27,leir,Nb
28,þá,Df
29,betri,A-
30,at,N-
31,hafa,V-
32,kveðiusending,Nb
33,Alcuinus,F-
34,diaconus,F-
35,lítillátr,A-
36,diákn,Nb
37,senda,V-
38,kveðia,Nb
39,hinn,Pd
40,kærr,A-
41,sunr,Nb
42,sinn,Ps
43,Wido,F-
44,minna,V-
45,ek,Pp
46,fyrirheit,Nb
47,minn,Ps
48,ok,C-
49,bœn,Nb
50,þinn,Ps
51,binda,V-
52,miok,Df
53,kostgæfliga,Df
54,rita,V-
55,með,R-
56,skammr,A-
57,mál,Nb
58,nokkurr,Py
59,huggan,Nb
60,fiolskyldi,Nb
61,vér,Pp
62,vita,V-
63,í,R-
64,orrosta,Nb
65,opt,Df
66,hǫnd,Nb
67,foðurligr,A-
68,áminning,Nb
69,mega,V-
70,líta,V-
71,sialfr,A-
72,vekia,V-
73,eilífr,A-
74,fullsæla,Nb
75,svá,Df
76,gofugligr,A-
77,iátta,V-
78,giarnliga,Df
79,týia,V-
80,œskia,V-
81,rit,Nb
82,góðfýsi,Nb
83,stoða,V-
84,heilsa,Nb
85,þó,Df
86,siá,Pd
87,sýna,V-
88,lítt,Df
89,málfimliga,Df
90,saman,Df
91,setia,V-
92,víss,A-
93,gera,V-
94,af,R-
95,afl,Nb
96,heilagr,A-
97,ást,Nb
98,skýra,V-
99,skipan,Nb
100,sérhverr,Py
101,upphaf,Nb
102,auðveldliga,Df
103,festa,V-
104,minning,Nb
105,yðarr,Ps
106,margr,A-
107,veraldligr,A-
108,lutr,Nb
109,biðia,V-
110,kostgæfi,Nb
111,renna,V-
112,bókstafr,Nb
113,móðr,A-
114,hugr,Nb
115,ýtri,A-
116,áhyggia,Nb
117,hann,Pp
118,fagna,V-
119,aptr,Df
120,sik,Pk
121,skilia,V-
122,hvert,Du
123,meirr,Df
124,fýsa,V-
125,vandliga,Df
126,mildr,A-
127,kenning,Nb
128,láta,V-
129,sóma,V-
130,lesa,V-
131,samr,A-
132,elska,Nb
133,kostgæfa,V-
134,úmóðr,A-
135,vili,Nb
136,fyrir,R-
137,búa,V-
138,bygð,Nb
139,himneskr,A-
140,dýrð,Nb
141,veizla,Nb
142,olmusugerð,Nb
143,iafngirni,Nb
144,dómr,Nb
145,ástsamligr,A-
146,miskunn,Nb
147,verk,Nb
148,guð,Nb
149,mildi,Nb
150,ávalt,Df
151,hvervetna,Df
152,biarga,V-
153,um,R-
154,speki,Nb
155,allr,Py
156,fyrr,Df
157,maðr,Nb
158,leita,V-
159,hvat,Pi
160,sannr,A-
161,hyggiandi,Nb
162,heimr,Nb
163,heimska,Nb
164,fara,V-
165,frá,R-
166,diofull,Nb
167,þiónusta,Nb
168,synd,Nb
169,algorr,A-
170,gǫfga,V-
171,eptir,R-
172,sannleikr,Nb
173,boðorð,Nb
174,tveir,Py
175,sœkia,V-
176,sǽlligr,A-
177,líf,Nb
178,Davið,Ne
179,prófeti,Nb
180,mǽla,V-
181,snúa,V-
182,illr,A-
183,góðr,A-
184,vinna,V-
185,þǫrf,Nb
186,nema,G-
187,týna,V-
188,hverr,Py
189,spakr,A-
190,munu,V-
191,sǽll,A-
192,ifanarlaust,Df
193,kynning,Nb
194,guðdómr,Nb
195,kraptr,Nb
196,ávoxtr,Nb
197,trú,Nb
198,nema,V-
199,almenniligr,A-
200,úmáttuligr,A-
201,líka,V-
202,útan,Df
203,sannliga,Df
204,réttr,A-
205,trúa,V-
206,vel,Df
207,lifa,V-
208,varðveita,V-
209,tómr,A-
210,ok,Df
211,ekki,Df
212,án,R-
213,Iacobus,Ne
214,postoli,Nb
215,bróðir,Nb
216,segia,V-
217,grœða,V-
218,úrøyndr,A-
219,líkamr,Nb
220,aldauðr,A-
221,dauðr,A-
222,annarr,Py
223,tíð,Nb
224,rœða,V-
225,ágǽti,Nb
226,diúpr,A-
227,skynsemi,Nb
228,eigna,V-
229,hofðingiadómr,Nb
230,algørvi,Nb
231,sanna,V-
232,Páll,Ne
233,engi,Py
234,orð,Nb
235,hafnan,Nb
236,né,C-
237,olmusugœði,Nb
238,svara,V-
239,dróttinn,Nb
240,várr,Ps
241,spyria,V-
242,einn,Py
243,spekingr,Nb
244,meiri,A-
245,elska,V-
246,hiarta,Nb
247,ǫnd,Nb
248,skilning,Nb
249,líkr,A-
250,nángr,Nb
251,standa,V-
252,lǫg,Nb
253,spámannamál,Nb
254,varðveizla,Nb
255,staðr,Nb
256,ér,Pp
257,lærisveinn,Nb
258,á,R-
259,meðal,R-
260,fylling,Nb
261,Iohannes,F-
262,evangelista,F-
