1,καλός,A-
2,εἰμί#1,V-
3,ἐγώ,Pp
4,εἰ,G-
5,οὐ,Df
6,γεννάω,V-
7,ἤ,C-
8,παιδίον,Nb
9,ἀποθνῄσκω,V-
10,ἐπειδή,G-
11,οὗτος,Pd
12,γίγνομαι,V-
13,ἰστέον,V-
14,ὅτι,G-
15,ἐν,R-
16,ἔτος,Nb
17,6909,Mo
18,Αὔγουστος#1,Ne
19,30,Ma
20,ἡμέρα,Nb
21,τρίτος,Mo
22,ἀναγεννάω,V-
23,δέ,Df
24,ὑπό,R-
25,ὁ,S-
26,ὅσιος,A-
27,καί,C-
28,ἅγιος,A-
29,Θωμαΐς,Ne
30,περί,R-
31,ὅς,Pr
32,προσήκω,V-
33,τόπος,Nb
34,μέλλω,V-
35,διηγέομαι,V-
36,ἀληθής,A-
37,28,Mo
38,Ἰούλιος,Ne
39,μείς,Nb
40,δέκατος,Mo
41,σκοτόω,V-
42,ἀμηρᾶς,Nb
43,Παϊαζήτης,Ne
44,παρά,R-
45,Τεμήρης,Ne
46,πέμπτος,Mo
47,αὐθέντης,Nb
48,γενεά,Nb
49,αὐτός,Pp
50,Ἐρτογρούλης,Ne
51,γάρ,Df
52,πρῶτος,Mo
53,δεύτερος,Mo
54,Ὀτμάνης,Ne
55,ἐκ,R-
56,καί#1,Df
57,Ἀτουμαλίδαι,Nb
58,Ὀρχάνης,Ne
59,τέταρτος,Mo
60,Μοράτης,Ne
61,ἕκτος,Mo
62,Μεχεμέτις,Ne
63,ἕβδομος,Mo
64,ὄγδοος,Mo
65,δή,Df
66,ἡμεῖς,Pp
67,αἰχμαλωτεύω,V-
68,ἐξωθέω,V-
69,Κωνσταντινούπολις,Ne
70,εἰς,R-
71,ἀρχή,Nb
72,οὖν,Df
73,12,Mo
74,ἐπανέρχομαι,V-
75,ἀπό,R-
76,δύσις,Nb
77,βασιλεύς,Nb
78,κύρης,Nb
79,Μανουήλ,Ne
80,Παλαιολόγος,Ne
81,13,Mo
82,Φεβρουάριος,Ne
83,8,Mo
84,Κωνσταντῖνος,Ne
85,μέχρι,R-
86,21,Mo
87,πολύς,A-
88,ἀναγκαῖος,A-
89,μνήμη,Nb
90,ἄξιος,A-
91,λέγω,V-
92,ἄφιξις,Nb
93,πέντε,Ma
94,υἱός,Nb
95,ἤγουν,Df
96,Μουλσούμανος,Ne
97,Μωσῆς,Ne
98,Ἰεσσαί,Ne
99,Ἰωσούφης,Ne
100,Χριστιανός,Nb
101,Δημήτριος,Ne
102,ἐπονομάζω,V-
103,θάνατος,Nb
104,κύριος,Nb
105,Ἰωάν(ν)ης,Ne
106,Θεσσαλονίκη,Ne
107,ἔλευσις,Nb
108,ἐκεῖ,Df
109,θεῖος,Nb
110,δεσπότης,Nb
111,Ανδρόνικος,Ne
112,ἀποκατάστασις,Nb
113,Θεόδωρος,Ne
114,πορφυρογέννητος,A-
115,Μυζηθρᾶς,Ne
116,ἀδελφός,Nb
117,Μορέας,Ne
118,τριέτης,A-
119,μάχη,Nb
120,αὐτός,Pd
121,μετά,R-
122,μέρος,Nb
123,Λάρισσος,Ne
124,ἐκτύφλωσις,Nb
125,ἀνατολή,Nb
126,Κυρίτζης,Ne
127,ἧσσα,Nb
128,ἐπιστροφή,Nb
129,πάλιν,Df
130,διά,R-
131,πόλις,Nb
132,νίκη,Nb
133,ἔτι,Df
134,Μονεμβασία,Ne
135,ἀλλά,C-
136,δύο,Ma
137,θυγάτηρ,Nb
138,γέννησις,Nb
139,αὐθεντόπουλος,Nb
140,Μιχαήλ,Ne
141,λοιμώδης,A-
142,νόσημα,Nb
143,ὁμοίως,Df
144,Τζαλαπῆς,Ne
145,Θωμᾶς,Ne
146,ἄλλος,Px
147,τὶς,Px
148,μερικός,A-
149,πᾶς,Px
150,ἡλικία,Nb
151,ἀτελής,A-
152,πάντῃ,Df
153,καλῶς,Df
154,οἶδα,V-
155,ἀκριβῶς,Df
156,χρόνος,Nb
157,πῶς,Du
158,σιωπή,Nb
159,παραλείπω,V-
160,11,Mo
161,ἐξέρχομαι,V-
162,ἀπέρχομαι,V-
163,νῆσος,Nb
164,Θάσος,Ne
165,ἀπαίρω,V-
166,Σεπτέμβριος,Ne
167,εἶτα,Df
168,κτίζω,V-
169,Ἑξαμίλιον,Ne
170,22,Mo
171,Μάρτιος,Ne
172,σῴζω,V-
173,λιμήν,Nb
174,Κεχρεοί,Ne
175,ὀνομάζω,V-
176,Απρίλιος,Ne
177,ἄρχω,V-
178,ἀνακαθαίρω,V-
179,ἀνοικοδομέω,V-
180,πέρ,Df
181,ἔνι,V-
182,μῆκος,Nb
183,ὀργυιά,Nb
184,3800,Ma
185,ἀνίστημι,V-
186,πύργος,Nb
187,ἐπί,R-
188,153,Ma
189,εὑρίσκω,V-
190,γράμμα,Nb
191,μάρμαρον,Nb
192,οὕτω(ς),Df
193,φῶς,Nb
194,θεός,Nb
195,ἀληθινός,A-
196,φυλάσσω,V-
197,αὐτοκράτωρ,Nb
198,Ιουστινιανός,Ne
199,πιστός,A-
200,δοῦλος,Nb
201,Βικτωρινός,Ne
202,Ἑλλάς,Ne
203,οἰκέω,V-
204,ζῶ,V-
205,24,Mo
206,ἐπαναστρέφω,V-
207,πατριάρχης,Nb
208,Ευθύμιος,Ne
209,Μάιος,Ne
210,Ἔφεσος,Ne
211,Ἰωσήφ,Ne
212,25,Mo
213,ὥρα,Nb
214,φθινόπωρον,Nb
215,καιρός,Nb
216,διέρχομαι,V-
217,πλαστός,A-
218,ἐκεῖνος,Pd
219,Μουσταφᾶς,Ne
220,διώκω,V-
221,τάχα,Df
222,Λῆμνος,Ne
223,ἀποστέλλω,V-
224,μετέπειτα,Df
225,χειμών,Nb
226,θανατικόν,Nb
227,Μαύρη Θάλασσα,Ne
228,φαμιλικῶς,Df
229,κάστρον,Nb
230,εἷς,Ma
231,ἐκεῖσε,Df
232,κεφαλατεύω,V-
233,γαμβρός,Nb
234,Γρηγόριος,Ne
235,Μαμωνᾶς,Ne
236,ἀνήρ,Nb
237,ἀγαθός,A-
238,μέγας,A-
239,δούξ,Nb
240,ποτε,Df
241,ἀδελφή,Nb
242,γυνή,Nb
243,θῆλυς,A-
244,7,Ma
245,παῖς,Nb
246,πατήρ,Nb
247,ἑπτά,Ma
248,μήτηρ,Nb
249,ἕξ,Ma
250,ὑποχείριος,A-
251,τε,C-
252,ἐναπολείπω,V-
253,μόνος,A-
254,ἔρχομαι,V-
255,φωνή,Nb
256,ἄθλιος,A-
257,γενέτης,Nb
258,ἀλλοτρόπως,Df
259,ἀκούω,V-
260,ὡς,Dq
261,τελέως,Df
262,ἀσθενῶς,Df
263,αἴτιος,A-
264,μή,Df
265,τάξις,Nb
266,τατᾶς,Nb
267,ὑπηρεσία,Nb
268,ἐπιτραπέζιος,A-
269,κελιώτης,Nb
270,ὡς,G-
271,ὁρίζω,V-
272,ἑτοιμάζω,V-
273,μέν,Df
274,ἕτερος,A-
275,ἐπέρχομαι,V-
276,ἀφίημι,V-
277,Χαρσιανίτης,Ne
278,μονή,Nb
279,κατά,R-
280,ἀλήθεια,Nb
281,διδάσκαλος,Nb
282,καλόγηρος,A-
283,ἔαρ,Nb
284,θέρος,Nb
285,δέσποινα,Nb
286,κυρά,Nb
287,Ἅννα,Ne
288,Ῥωσσία,Ne
289,νόσος,Nb
290,θάπτω,V-
291,Λιψ,Ne
292,6926,Mo
293,στέλλω,V-
294,κελίον,Nb
295,ἑαυτοῦ,Pk
296,προσάγω,V-
297,17,Mo
298,ὑπάρχω,V-
299,16.5,Ma
300,69.5,Ma
301,6927,Mo
302,Νοέμβριος,Ne
303,Σοφία,Ne
304,Μόντες Φεράντες,Ne
305,μαρκέσιος,Nb
306,19,Mo
307,Ιανουάριος,Ne
308,εὐλογέω,V-
309,στέφω,V-
310,Ἁγία Σοφία,Ne
311,στέψις,Nb
312,ὄντως,Df
313,ἑορτή,Nb
314,πανήγυρις,Nb
315,Μεχεμέτης,Ne
316,ἵνα,G-
317,περάω,V-
318,προμανθάνω,V-
319,ὡς,Df
320,μυστήριον,Nb
321,ὑπάγω,V-
322,διορθόω,V-
323,ὡσάν,Dq
324,ἐπιστρέφω,V-
325,ἔχω,V-
326,σκοπός,Nb
327,μελέτη,Nb
328,ἐμπιστεύω,V-
329,ἄρχων,Nb
330,ἱεράομαι,V-
331,παροτρύνω,V-
332,βουλεύω,V-
333,πιέζω,V-
334,καταπείθω,V-
335,ἀθετέω,V-
336,ὅρκος,Nb
337,πρός,R-
338,ποιέω,V-
339,ἐάν,G-
340,βεβαιόω,V-
341,ὁ,Pp
342,ἀπομένω,V-
343,δύναμαι,V-
344,αἰτία,Nb
345,οὐδέ,C-
346,τίς,Pi
347,συνάντησις,Nb
348,ἀσεβής,A-
349,Λεοντάρις,Ne
350,Ισάκιος,Ne
351,Ἀσάνης,Ne
352,πρωτοστράτωρ,Nb
353,Καντακουζηνός,Ne
354,ἀρχοντόπουλος,Nb
355,στρατιώτης,Nb
356,δῶρον,Nb
357,συναντάω,V-
358,Κουτουλός,Ne
359,ἕως,Df
360,Διπλοκιόνιον,Ne
361,ὅλος,A-
362,δηλονότι,Df
363,ὁδός,Nb
364,ὁμιλέω,V-
365,κάτεργον,Nb
366,ἐμβαίνω,V-
367,θάλασσα,Nb
368,μέσος,A-
369,χαιρετέω,V-
370,ἀλλήλων,Pc
371,μέχρι,Df
372,πέρα,Df
373,νῦν#1,Df
374,Σκουτάριον,Ne
375,πρότερος,A-
376,Χρυσόπολις,Ne
377,ἀναβαίνω,V-
378,τέντα,Nb
379,προετοιμάζω,V-
380,τρώγω,V-
381,πίνω,V-
382,ἀποστολή,Nb
383,τρόφιμος,A-
384,Ἑσπερινός,A-
385,καβαλικεύ(γ)ω,V-
386,Νικομήδεια,Ne
387,φέρω,V-
388,οἴκαδε,Df
389,Καλλίπολις,Ne
390,Ἀνδριανούπολις,Ne
391,προμελετάω,V-
392,μανθάνω,V-
393,προμηνύω,V-
394,ἐλέγχω,V-
395,ἀγάπη,Nb
396,τιμή,Nb
397,ἐπιδείκνυμι,V-
398,πέραμα,Nb
399,τοιοῦτος,Pd
400,ἀποκρισιάριος,Nb
401,πρόσωπον,Nb
402,προσκομίζω,V-
403,ὁράω,V-
404,ὅτι,Du
405,τέλος,Nb
406,ὑγιῶς,Df
407,αμή,I-
408,ἐθέλω,V-
409,ἐσθίω,V-
410,ὁμοῦ,Df
411,τρεῖς,Ma
412,τυγχάνω,V-
413,κατούνα,Nb
414,θαυμάζω,V-
415,οὐδείς,Px
416,παρακαλέω,V-
417,δουλεία,Nb
418,μαθαίνω,V-
419,σχεδόν,Df
420,στρᾶτα,Nb
421,κλείω,V-
422,κρυφίως,Df
423,γραμματοκομιστής,Nb
424,νά,Df
425,παρέρχομαι,V-
426,ἰδοὺ,I-
427,ἀποκαλύπτω,V-
428,θρόος,Nb
429,βουλή,Nb
430,ἔλεγχος,Nb
431,λαμβάνω,V-
432,Περίβλεπτος,Ne
433,μόλις,Df
434,ἄλλος,A-
435,Μεσέμβρια,Ne
436,ἀπάγω,V-
437,ἄνθρωπος,Nb
438,γραφή,Nb
439,ἑσπέρα,Nb
440,αὐλίζομαι,V-
441,κλαυθμός,Nb
442,πρωΐ,Df
443,ἀγαλλίασις,Nb
444,πίπτω,V-
445,φροντίς,Nb
446,πότερον,Du
447,Μουράτης,Ne
448,παραχωρέω,V-
449,ὁρκωμοτικός,A-
450,διαλαμβάνω,V-
451,κρίνω,V-
452,δίκαιος,A-
453,δίδωμι,V-
454,οἱονεί,A-
455,παραχώρησις,Nb
456,ἐξουσία,Nb
457,ἐπιλέγω,V-
458,γέρων,Nb
459,ἀσθενής,A-
460,ἐγγύς,R-
461,βασιλεία,Nb
462,σύ,Pp
463,29,Mo
464,ἐκβάλλω,V-
465,προσκυνέω,V-
466,ζητέω,V-
