1,Gallia,Ne
2,sum,V-
3,omnis,Px
4,divido,V-
5,in,R-
6,pars,Nb
7,tres,Ma
8,qui,Pr
9,unus,Ma
10,incolo,V-
11,Belgae,Nb
12,alius,Px
13,Aquitani,Nb
14,tertius,Mo
15,ipse,Pp
16,lingua,Nb
17,Celtae,Nb
18,noster,Ps
19,Galli,Nb
20,appello,V-
21,hic,Pd
22,institutum,Nb
23,lex,Nb
24,inter,R-
25,se,Pk
26,differo,V-
27,ab,R-
28,Garumna,Ne
29,flumen,Nb
30,Matrona,Ne
31,et,C-
32,Sequana,Ne
33,fortis,A-
34,propterea,Df
35,quod,G-
36,cultus,Nb
37,atque,C-
38,humanitas,Nb
39,provincia,Nb
40,longe,Df
41,absum,V-
42,parum,Df
43,que,C-
44,ad,R-
45,is,Pp
46,mercator,Nb
47,saepe,Df
48,commeo,V-
49,effemino,V-
50,animus,Nb
51,pertineo,V-
52,importo,V-
53,proximus,A-
54,Germani,Nb
55,trans,R-
56,Rhenus,Ne
57,cum,R-
58,continenter,Df
59,bellum,Nb
60,gero,V-
61,de,R-
62,causa,Nb
63,Helvetii,Nb
64,quoque,Df
65,reliquus,A-
66,virtus,Nb
67,praecedo,V-
68,fere,Df
69,cottidianus,A-
70,proelium,Nb
71,contendo,V-
72,cum,G-
73,aut,C-
74,suus,Pt
75,finis,Nb
76,prohibeo,V-
77,apud,R-
78,nobilis,A-
79,dis,A-
80,Orgetorix,Ne
81,Marcus,Ne
82,Messala,Ne
83,Piso,Ne
84,consul,Nb
85,regnum,Nb
86,cupiditas,Nb
87,induco,V-
88,coniuratio,Nb
89,nobilitas,Nb
90,facio,V-
91,civitas,Nb
92,persuadeo,V-
93,ut,G-
94,copia,Nb
95,exeo,V-
96,perfacilis,A-
97,praesto,V-
98,totus,A-
99,imperium,Nb
100,potior,V-
101,facile,Df
102,undique,Df
103,locus,Nb
104,natura,Nb
105,contineo,V-
106,ex,R-
107,latus,A-
108,altus,A-
109,ager,Nb
110,Helvetius,A-
111,alter,A-
112,mons,Nb
113,Iura,Ne
114,Sequani,Nb
115,lacus,Nb
116,Lemannus,Ne
117,Rhodanus,Ne
118,res,Nb
119,fio,V-
120,late,Df
121,vagor,V-
122,finitimi,Nb
123,infero,V-
124,possum,V-
125,homo,Nb
126,bello,V-
127,cupidus,A-
128,magnus,A-
129,dolor,Nb
130,afficio,V-
131,pro,R-
132,multitudo,Nb
133,autem,Df
134,gloria,Nb
135,fortitudo,Nb
136,angustus,A-
137,habeo,V-
138,arbitror,V-
139,longitudo,Nb
140,mille,Ma
141,passus,Nb
142,ducenti quadraginta,Ma
143,latitudo,Nb
144,centum octoginta,Ma
145,pateo,V-
146,adduco,V-
147,auctoritas,Nb
148,permoveo,V-
149,constituo,V-
150,proficiscor,V-
151,comparo#1,V-
152,iumentum,Nb
153,carrus,Nb
154,quam#3,Df
155,numerus,Nb
156,coemo,V-
157,sementis,Nb
158,iter,Nb
159,frumentum,Nb
160,suppeto,V-
161,pax,Nb
162,amicitia,Nb
163,confirmo,V-
164,is,Pd
165,conficio,V-
166,biennium,Nb
167,satis,Df
168,duco,V-
169,annus,Nb
170,profectio,Nb
171,deligo#1,V-
172,legatio,Nb
173,suscipio,V-
174,Casticus,Ne
175,Catamantaloedes,Ne
176,filius,Nb
177,Sequanus,A-
178,pater,Nb
179,multus,A-
180,obtineo,V-
181,senatus,Nb
182,populus,Nb
183,Romanus,A-
184,amicus,Nb
185,occupo,V-
186,ante,Df
187,item,Df
188,Dumnorix,Ne
189,Aedui,Nb
190,frater,Nb
191,Diviciacus,Ne
192,tempus,Nb
193,principatus,Nb
194,magis,Df
195,plebs,Nb
196,acceptus,A-
197,idem,Pd
198,conor,V-
199,filia,Nb
200,matrimonium,Nb
201,do,V-
202,ille,Pd
203,probo,V-
204,conatum,Nb
205,perficio,V-
206,non,Df
207,dubius,A-
208,quin,G-
209,exercitus,Nb
210,concilio,V-
