deep_cleaned|pos|morph_tag|word_raw|sentence_id|pres_before|pres_after|text_id|subtitle_id
кьнігъі|Nb|-p---fn--i|Кьнігъі|5000000| | |10|1
родства|Nb|-s---ng--i|р҃одства|5000000|| |10|1
іухва|A-|-s---ogpsi|и҃ѵ҃хва|5000000|| · |10|1
сна|Nb|-s---mg--i|с҃на|5000000|| |10|1
ддва|A-|-s---ogpsi|д҃два|5000000|| · |10|1
сна|Nb|-s---mg--i|с҃на|5000000|| |10|1
авраамлѣ|A-|-s---mgpsi|Авраа̄мл̄ѣ|5000000|| ·|10|1
авраамъ|Ne|-s---mn--i|Авраа̄мъ|5000001| | |10|1
роді|V-|3saia----i|роди|5000001|| |10|1
ісаака|Ne|-s---mg--i|ӣсаа̄ка|5000001|| · |10|1
ісаакь|A-|-s---ma--i|Ӣсаа̄кь|5000001|| |10|1
же|Df|---------n|же|5000001|| |10|1
роді|V-|3saia----i|роді|5000001|| |10|1
іакова|Ne|-s---mg--i|ӣа̄ко̄ва|5000001|| · |10|1
іаковъ|Ne|-s---mn--i|ӣа̄ковъ|5000001|| |10|1
же|Df|---------n|же|5000001|| |10|1
роді|V-|3saia----i|роді|5000001|| |10|1
іюдѫ|Ne|-s---ma--i|Ӣю̄дѫ|5000001|| |10|1
і|C-|---------n|ӣ|5000001|| |10|1
братіѭ|Nb|-s---fa--i|братіѭ̄|5000001|| |10|1
его|Pp|3s---mg--i|е̄го|5000001|| ·|10|1
іюда|Ne|-s---mn--i|И҅ю̄да|5000002| | |10|1
же|Df|---------n|же|5000002|| |10|1
роді|V-|3saia----i|роді|5000002|| |10|1
фареса|Nb|-p---na--i|фареса|5000002|| |10|1
і|C-|---------n|ӣ|5000002|| |10|1
зара|Ne|-s---mg--i|зара|5000002|| · |10|1
отъ|R-|---------n|ѡ̄̄тъ|5000002|| |10|1
тамаръі|Nb|-s---fg--i|тамаръи|5000002|| · |10|1
фаресъ|V-|-supamn-si|фаресъ|5000002|| |10|1
же|Df|---------n|же|5000002|| |10|1
роді|V-|3saia----i|роді|5000002|| |10|1
есрома|Nb|-s---mg--i|е̄ср̄ома|5000002|| · |10|1
есромь|Nb|-s---mi--i|е̄сромь|5000002|| |10|1
же|Df|---------n|же|5000002|| |10|1
роді|V-|3saia----i|роді|5000002|| |10|1
араама|Ne|-s---mg--i|а̄раа̄ма|5000002|| ·|10|1
араамъ|Nb|-p---fd--i|А̄раа̄мъ|5000003| | |10|1
же|Df|---------n|же|5000003|| |10|1
роді|V-|3saia----i|роді|5000003|| |10|1
амінадава|A-|-s---fnpsi|а̄мінадава|5000003|| · |10|1
амінадавъ|V-|-supamn-si|а̄мінадавъ|5000003|| |10|1
же|Df|---------n|же|5000003|| |10|1
роді|V-|3saia----i|роді|5000003|| · |10|1
нассона|Ne|-s---mg--i|Насс̆она|5000003|| · |10|1
нассонъ|Nb|-s---ma--i|насс̆о̄нъ|5000003|| |10|1
же|Df|---------n|же|5000003|| |10|1
роді|V-|3saia----i|роді|5000003|| |10|1
сальмона|Ne|-s---mg--i|сальмона|5000003|| ·|10|1
салмонъ|Ne|-s---mn--i|Салм̄онъ|5000004| | |10|1
же|Df|---------n|же|5000004|| |10|1
роді|V-|3saia----i|роді|5000004|| |10|1
вооза|Nb|-s---fn--i|Воо҅за|5000004|| |10|1
от|R-|---------n|от|5000004|| |10|1
рахавъі|A-|-supamn-wi|рахавъі|5000004|| · |10|1
воозь|Nb|-s---mn--i|Воо̄зь|5000004|| |10|1
же|Df|---------n|же|5000004|| |10|1
роді|V-|3saia----i|роді|5000004|| |10|1
овіода|Ne|-s---mg--i|о҅віо̄да|5000004|| · |10|1
отъ|R-|---------n|(ѡ҅҅тъ|5000004|| |10|1
ротъі|Nb|-p---fn--i|ротъі)|5000004|| · |10|1
овіодъ|Nb|-p---mg--i|О̄вио҅̄дъ|5000004|| |10|1
же|Df|---------n|же|5000004|| |10|1
роді|V-|3saia----i|роді|5000004|| · |10|1
іесеа|Ne|-s---mg--i|ӣе̄сеа̄|5000004|| ·|10|1
іесеі|V-|-s---fd--i|Ӣе̄сеӣ|5000005| | |10|1
же|Df|---------n|же|5000005|| |10|1
роді|V-|3saia----i|роді|5000005|| |10|1
дда|Nb|-s---mg--i|д҃да|5000005|| |10|1
црѣ|Nb|-s---mg--i|ц҃рѣ|5000005|| · |10|1
ддъ|Ne|-s---mn--i|д҃дъ|5000005|| |10|1
же|Df|---------n|же|5000005|| |10|1
црь|Nb|-s---mn--i|ц҃рь|5000005|| |10|1
роді|V-|3saia----i|роді|5000005|| |10|1
соломона|Ne|-s---mg--i|соломона|5000005|| |10|1
от|R-|---------n|ѡт|5000005|| |10|1
оуріінъіѧ|A-|-p---mapwi|ѹ̄ріӣнъіѩ̄|5000005|| ·|10|1
соломонъ|Ne|-s---mn--i|Соломонъ|5000006| | |10|1
же|Df|---------n|же|5000006|| |10|1
роді|V-|3saia----i|роді|5000006|| · |10|1
ровоама|Nb|-s---mg--i|ровоа̄ма|5000006|| · |10|1
ровоамъ|Nb|-p---fd--i|Ровоа̄мъ|5000006|| |10|1
же|Df|---------n|же|5000006|| |10|1
роді|V-|3saia----i|роди|5000006|| |10|1
авіада|Ne|-s---mg--i|а̄віа̄да|5000006|| · |10|1
авіадъ|Ne|-s---mn--i|А̄віа̄дъ|5000006|| |10|1
же|Df|---------n|же|5000006|| |10|1
роді|V-|3saia----i|роді|5000006|| |10|1
асса|Ne|-s---mg--i|а̄сс̆а|5000006|| ·|10|1
ассь|Nb|-s---mn--i|А̄сс̄̄ь|5000007| | |10|1
же|Df|---------n|же|5000007|| |10|1
роді|V-|3saia----i|роді|5000007|| |10|1
іоасафата|F-|---------n|ӣо̄а̄сафата|5000007|| · |10|1
іоасафатъ|V-|3spia----i|ӣо̄а̄сафатъ|5000007|| |10|1
же|Df|---------n|же|5000007|| |10|1
роді|V-|3saia----i|роді|5000007|| |10|1
іоарама|Nb|-s---mg--i|ӣо̄а̄рама|5000007|| · |10|1
іоарамь|Ne|-s---mn--i|Ӣо̄а̄рамь|5000007|| |10|1
же|Df|---------n|же|5000007|| |10|1
роді|V-|3saia----i|роді|5000007|| |10|1
іозіѭ|Nb|-s---fi--i|ӣо̄зіѭ̄|5000007|| ·|10|1
іозіѣ|Nb|-s---ng--i|Ӣо̄зіѣ̄|5000008| | |10|1
же|Df|---------n|же|5000008|| |10|1
роді|V-|3saia----i|роді|5000008|| |10|1
іоатама|Ma|-d---fd--i|ӣо̄а̄тама|5000008|| · |10|1
іоатамь|Nb|-s---mn--i|ӣо̄а̄тамь|5000008|| |10|1
же|Df|---------n|же|5000008|| |10|1
роді|V-|3saia----i|роді|5000008|| |10|1
ахаза|Nb|-s---fn--i|а̄хаза|5000008|| · |10|1
ахазь|V-|2spma----i|А̄хазь|5000008|| |10|1
же|Df|---------n|же|5000008|| |10|1
роді|V-|3saia----i|роді|5000008|| |10|1
іезекіѭ|Nb|-s---fa--i|ӣе̄зекіѭ̄|5000008|| ·|10|1
іезекіѣ|Ne|-s---mn--i|ӣе̄зекіѣ̄|5000009| | |10|1
же|Df|---------n|же|5000009|| |10|1
роді|V-|3saia----i|роді|5000009|| |10|1
манасіѭ|Ne|-s---ma--i|манасиѭ̄|5000009|| · |10|1
манасіі|Ne|-s---mn--i|манасіӣ|5000009|| |10|1
же|Df|---------n|же|5000009|| |10|1
роді|V-|3saia----i|роді|5000009|| |10|1
амоса|Nb|-s---mg--i|а̄мо̄с̄а|5000009|| · |10|1
амось|Nb|-s---mn--i|А̄мось|5000009|| |10|1
же|Df|---------n|же|5000009|| |10|1
роді|V-|3saia----i|роді|5000009|| |10|1
іосіѭ|Nb|-s---fa--i|ӣо̄сіѭ̄|5000009|| ·|10|1
іосіа|Ne|-s---mg--i|Ӣо̄сіа̄|5000010| | |10|1
же|Df|---------n|же|5000010|| |10|1
роді|V-|3saia----i|роді|5000010|| |10|1
іохоніѭ|Ne|-s---fa--i|ӣо̄хоніѭ̄|5000010|| · |10|1
і|C-|---------n|и|5000010|| |10|1
братіѭ|Nb|-s---fa--i|братиѭ̄|5000010|| |10|1
его|Pp|3s---mg--i|е̄го|5000010|| · |10|1
въ|R-|---------n|Въ|5000010|| |10|1
прѣселеніі|Nb|-s---nl--i|прѣселеніӣ|5000010|| |10|1
вавілонстѣамь|A-|-s---mlpwi|вавілонстѣа̄мь|5000010|| ·|10|1
по|R-|---------n|По|5000011| | |10|1
прѣселеніі|Nb|-puppmn-wi|прѣселениӣ|5000011|| |10|1
же|Df|---------n|же|5000011|| |10|1
вавілоньстѣ|A-|-s---flpsi|вавілоньстѣ|5000011|| · |10|1
іохоніѣ|Nb|-s---mg--i|Ӣо̄хониѣ̄|5000011|| |10|1
роді|V-|3saia----i|роди|5000011|| |10|1
салатілѣ|Nb|-s---nl--i|салатилѣ|5000011|| · |10|1
салатіль|V-|-sspamn-si|салатіль|5000011|| |10|1
же|Df|---------n|же|5000011|| |10|1
роді|V-|3saia----i|роді|5000011|| |10|1
зоровавелѣ|Ne|-s---mg--i|зоров̄авелѣ|5000011|| ·|10|1
зоровавель|Ne|-s---mn--i|Зоров̄авель|5000012| | |10|1
же|Df|---------n|же|5000012|| |10|1
роді|V-|3saia----i|роді|5000012|| · |10|1
авіоуда|Ne|-s---mn--i|А̄віѹ̄да|5000012|| · |10|1
авіоудъ|Nb|-s---mnpsi|А̄віѹ̄дъ|5000012|| |10|1
же|Df|---------n|же|5000012|| |10|1
роді|V-|3saia----i|роді|5000012|| |10|1
еліакіма|Nb|-s---mg--i|е̄лиа̄кіма|5000012|| · |10|1
еліакімь|A-|-s---ni--i|е̄лиа̄кимь|5000012|| |10|1
же|Df|---------n|же|5000012|| |10|1
роді|V-|3saia----i|роді|5000012|| |10|1
азара|Ne|-s---mg--i|А̄зара|5000012|| ·|10|1
азарь|Nb|-p---mg--i|А̄зарь|5000013| | |10|1
же|Df|---------n|же|5000013|| |10|1
роді|V-|3saia----i|роді|5000013|| |10|1
садока|Nb|-s---mg--i|садока|5000013|| · |10|1
садокь|Nb|-s---mn--i|садокь|5000013|| |10|1
же|Df|---------n|же|5000013|| |10|1
роді|V-|3saia----i|роді|5000013|| |10|1
ахіна|Nb|-s---mg--i|а̄хі̄на|5000013|| · |10|1
ахінъ|A-|-s---mn--i|а̄хінъ|5000013|| |10|1
же|Df|---------n|же|5000013|| |10|1
роді|V-|3saia----i|р҃оді|5000013|| |10|1
еліоуда|Ne|-s---mn--i|е̄лиѹ̄да|5000013|| ·|10|1
еліоудъ|Nb|-s---mnpsi|е̄ліѹ̄дъ|5000014| | |10|1
же|Df|---------n|же|5000014|| |10|1
роді|V-|3saia----i|роді|5000014|| |10|1
еліезора|Nb|-s---mg--i|е̄ліе̄зора|5000014|| · |10|1
еліезоръ|Nb|-s---mn--i|Е̄ліе̄зоръ|5000014|| |10|1
же|Df|---------n|же|5000014|| |10|1
роді|V-|3saia----i|роді|5000014|| |10|1
маттана|Ne|-s---mg--i|мат҅т̄ана|5000014|| · |10|1
маттанъ|V-|-s---mn--i|матт̄анъ|5000014|| |10|1
же|Df|---------n|же|5000014|| |10|1
роді|V-|3saia----i|роді|5000014|| · |10|1
іакова|Ne|-s---mg--i|ӣа̄кова|5000014|| ·|10|1
іаковъ|Ne|-s---mn--i|ӣа̄ковъ|5000015| | |10|1
же|Df|---------n|же|5000015|| |10|1
роді|V-|3saia----i|роді|5000015|| |10|1
іосіфа|Ne|-s---mg--i|ӣо̄сіфа|5000015|| |10|1
мѫжа|Nb|-s---mg--i|мѫжа|5000015|| |10|1
марііна|A-|-s---ogpsi|мариӣна|5000015|| · |10|1
із|R-|---------n|ӣз|5000015|| |10|1
неѧже|Pr|-s---fg--i|неѩ̄же|5000015|| |10|1
роді|V-|3saia----i|роді|5000015|| |10|1
сѧ|Pk|3s---qa--i|сѧ|5000015|| |10|1
ісъ|Ne|-s---mn--i|и҃̄съ|5000015|| · |10|1
наріцаемъі|V-|-spppmn-wi|наріцае̄мъи|5000015|| |10|1
хъ|Ne|-s---mn--i|х҃ъ|5000015|| ·|10|1
вьсѣхъ|Px|-p---mg--i|Вьсѣхъ|5000016| | |10|1
же|Df|---------n|же|5000016|| |10|1
родовъ|Nb|-p---mg--i|родовъ|5000016|| · |10|1
от|R-|---------n|ѡт|5000016|| |10|1
авраама|Ne|-s---mg--i|а̄враа̄ма|5000016|| |10|1
до|R-|---------n|до|5000016|| |10|1
дда|Nb|-s---mg--i|д҃да|5000016|| · |10|1
родовъ|Nb|-p---mg--i|Родовъ|5000016|| |10|1
гі|Nb|-s---mv--i|г҃ꙇ҃|5000016|| |10|1
те|Pp|2s---ma--i|те|5000016|| : |10|1
і|C-|---------n|Ӣ|5000016|| |10|1
от|R-|---------n|ѡт|5000016|| |10|1
дда|Nb|-s---mg--i|д҃да|5000016|| |10|1
до|R-|---------n|до|5000016|| |10|1
прѣселеніѣ|Nb|-s---ng--i|прѣселениѣ̄|5000016|| |10|1
вавілонскааго|A-|-s---ngpwi|вавілонс҅каа̄го|5000016|| · |10|1
родовъ|Nb|-p---mg--i|Родовъ|5000016|| |10|1
гі|Nb|-s---mv--i|г҃ꙇ҃|5000016|| |10|1
те|Pp|2s---ma--i|те|5000016|| · |10|1
і|C-|---------n|Ӣ|5000016|| |10|1
от|R-|---------n|ѡт|5000016|| |10|1
прѣселеніѣ|Nb|-s---ng--i|прѣселениѣ̄|5000016|| |10|1
вавілонскааго|A-|-s---ngpwi|вавилон̄с̄каа̄го|5000016|| |10|1
до|R-|---------n|до|5000016|| |10|1
ха|Ne|-s---mg--i|х҃а|5000016|| · |10|1
родовъ|Nb|-p---mg--i|Родовъ|5000016|| |10|1
гі|Nb|-s---mv--i|г҃ꙇ҃|5000016|| |10|1
те|Pp|---------n|те|5000016|| ·|10|1
ісхво|A-|-s---nnpsi|И҃схво|5000017| | |10|1
же|Df|---------n|же|5000017|| |10|1
родство|Nb|-s---nn--i|р҃одство|5000017|| |10|1
сіце|Df|---------n|сіце|5000017|| |10|1
бъіс|V-|3saia----i|бъіс|5000017|| · |10|1
обрѫченѣ|V-|-suppfd-si|о̄брѫченѣ|5000017|| |10|1
бъівьші|V-|-supafd-si|бъивьші|5000017|| |10|1
матері|Nb|-s---fd--i|матері|5000017|| |10|1
его|Pp|3s---mg--i|е̄го|5000017|| |10|1
маріі|Ne|-s---fd--i|маріӣ|5000017|| · |10|1
іосіфові|Ne|-s---md--i|Ӣо̄сіфові|5000017|| · |10|1
прѣжде|Df|---------n|прѣжде|5000017|| |10|1
даже|G-|---------n|даже|5000017|| |10|1
не|Df|---------n|не|5000017|| |10|1
сьнѧсте|V-|2paia----i|сьнѧсте|5000017|| |10|1
сѧ|Pk|3s---qa--i|сѧ|5000017|| · |10|1
обрѣте|V-|3saia----i|О̄брѣте|5000017|| |10|1
сѧ|Pk|3s---qa--i|сѧ|5000017|| |10|1
імѫшті|V-|-sppafn-si|ӣмѫщі|5000017|| |10|1
въ|R-|---------n|въ|5000017|| |10|1
чрѣвѣ|Nb|-s---nl--i|чрѣвѣ|5000017|| |10|1
от|R-|---------n|ѡт|5000017|| |10|1
дха|Nb|-s---mg--i|д҃ха|5000017|| |10|1
ста|V-|-s---ogpsi|с҃та|5000017|| ·|10|1
ісхво|A-|-s---nnpsi|и҃҅схво|5000018| | |10|1
же|Df|---------n|же|5000018|| |10|1
родство|Nb|-s---nn--i|р҃одство|5000018|| |10|1
сіце|Df|---------n|сице|5000018|| ⁛ коц|10|1
іосіфь|Ne|-s---mn--i|Ӣо̄сіфь|5000019| | |10|1
же|Df|---------n|же|5000019|| |10|1
мѫжь|Nb|-s---mn--i|мѫжь|5000019|| |10|1
еѧ|Pp|3s---fg--i|е̄ѩ̄|5000019|| · |10|1
правьденъ|A-|-s---mnpsi|правьденъ|5000019|| |10|1
съі|V-|-sppamn-si|съі|5000019|| |10|1
і|C-|---------n|ӣ|5000019|| |10|1
не|Df|---------n|не|5000019|| |10|1
хотѧ|V-|-sppamn-si|хотѧ|5000019|| |10|1
облічіті|V-|--pna----i|о̄блічіті|5000019|| |10|1
еѧ|Pp|3s---fg--i|е̄ѩ̄|5000019|| · |10|1
въсхотѣ|V-|3saia----i|Въсх̄отѣ|5000019|| |10|1
таі|Df|---------n|таӣ|5000019|| |10|1
поустіті|V-|--pna----i|пѹстіті|5000019|| |10|1
ѭ|Pp|3s---fa--i|ѭ|5000019||҅ ·|10|1
се|Pd|---------n|Се|5000020| | |10|1
же|Df|---------n|же|5000020|| |10|1
емоу|Pp|3s---md--i|е̄мѹ|5000020|| |10|1
оумъішльшоу|V-|-supamd-si|ѹ̄мъішльшѹ|5000020|| · |10|1
се|I-|---------n|се|5000020|| |10|1
англъ|Nb|-s---mn--i|а҃̄нꙉлъ|5000020|| |10|1
гнь|A-|-s---mnpsi|г҃нь|5000020|| |10|1
вь|R-|---------n|вь|5000020|| |10|1
сьнѣ|Nb|-s---ml--i|сьнѣ|5000020|| |10|1
ѣві|V-|3saia----i|ѣ̄ви|5000020|| |10|1
сѧ|Pk|3s---qa--i|сѧ|5000020|| |10|1
емоу|Pp|3s---md--i|е̄мѹ|5000020|| |10|1
глѧ|V-|-sppamn-si|г҃лѩ|5000020|| · |10|1
іосіфе|Ne|-s---mv--i|Ӣо̄сіфе|5000020|| |10|1
сне|Nb|-s---mv--i|с҃не|5000020|| |10|1
ддвъ|A-|-s---mvpsi|д҃двъ|5000020|| · |10|1
не|Df|---------n|не|5000020|| |10|1
оубоі|V-|2spma----i|ѹ̄боӣ|5000020|| |10|1
сѧ|Pk|3s---qa--i|сѧ|5000020|| |10|1
пріѧті|V-|--pna----i|пріѩ̄ті|5000020|| |10|1
женъі|Nb|-s---fg--i|женъі|5000020|| |10|1
твоеѧ|Ps|2s---fg--i|твое̄ѩ̄|5000020|| |10|1
маріѧ|Ne|-s---fg--i|м̄ар̄іѩ̄|5000020|| · ⁛ ⁛ |10|1
сѫштее|V-|-sppana-wi|сѫштее̄|5000020|| |10|1
бо|Df|---------n|бо|5000020|| |10|1
вь|R-|---------n|вь|5000020|| |10|1
неі|Pp|3s---fl--i|неӣ|5000020|| · |10|1
от|R-|---------n|Ѡт|5000020|| |10|1
дха|Nb|-s---mg--i|д҃ха|5000020|| |10|1
ста|V-|-s---mgpsi|с҃та|5000020|| |10|1
естъ|V-|3spia----i|е̄стъ|5000020|| ·|10|1
родіт|V-|3spia----i|Родіт|5000021| | |10|1
