id,lemma,pos,normalised,count,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,bitflag
1,о,R-,о,1243,chrabr,,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,509
2,писмѧ,Nb,пісмѧ,40,chrabr,,,,,supr_fixed,vit-const,vit-meth,zogr,481
3,чрьноризьць,Nb,чрьнорізьць,10,chrabr,,,,,supr_fixed,,,,33
4,храбъръ,Ne,храбъръ,1,chrabr,,,,,,,,,1
5,прѣжде,Df,прѣжде,150,chrabr,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,505
6,оубо,Df,оубо,785,chrabr,,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,381
7,словѣне,Nb,словѣне,4,chrabr,,,,,,,vit-meth,,129
8,не,Df,не,4441,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,511
9,имѣти,V-,імѣті,939,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,511
10,кънигꙑ,Nb,кънігъі,126,chrabr,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,505
11,нъ,C-,нъ,1090,chrabr,,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,509
12,чрьта,Nb,чрьта,4,chrabr,,,marianus,,,,,zogr,265
13,и,C-,і,16333,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,511
14,рѣза,Nb,рѣза,1,chrabr,,,,,,,,,1
15,чисти,V-,чісті,87,chrabr,,,marianus,,supr_fixed,vit-const,vit-meth,zogr,489
16,гадати,V-,гадаті,1,chrabr,,,,,,,,,1
17,поганъ,A-,поганъ,15,chrabr,,,,,supr_fixed,,vit-meth,,161
18,бꙑти,V-,бъіті,7120,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,511
19,крьстити,V-,крьстіті,82,chrabr,,,marianus,,supr_fixed,vit-const,vit-meth,zogr,489
20,же,Df,же,4845,chrabr,,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,509
21,себе,Pk,себе,6500,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,511
22,римьскъ,A-,рімьскъ,24,chrabr,,,marianus,,supr_fixed,vit-const,vit-meth,zogr,489
23,грьчьскъ,A-,грьчьскъ,17,chrabr,,,,,supr_fixed,vit-const,vit-meth,,225
24,нѫдити,V-,нѫдіті,29,chrabr,,,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,,zogr,377
