Ѣво|ѣво|1142|Euchologium Sinaiticum|Prayer and blessing for the house|-s---fv--i|FIXME|Nb
подобает|подобает|1143|Euchologium Sinaiticum|Prayer and blessing for the house|3spia----i|подобати|V-
ти|ті|1144|Euchologium Sinaiticum|Prayer and blessing for the house|2s---md--i|тꙑ|Pp
всѣ|всѣ|1145|Euchologium Sinaiticum|Prayer and blessing for the house|-s---fn--i|вьсь|Px
слава|слава|1146|Euchologium Sinaiticum|Prayer and blessing for the house|-s---fn--i|слава|Nb
оц҃а|оца|1147|Euchologium Sinaiticum|Prayer and blessing for the house|-s---mg--i|отьць|Nb
и|і|1148|Euchologium Sinaiticum|Prayer and blessing for the house|---------n|и|C-
сн҃а|сна|1149|Euchologium Sinaiticum|Prayer and blessing for the house|-s---mg--i|сꙑнъ#1|Nb
і|і|1150|Euchologium Sinaiticum|Prayer and blessing for the house|---------n|и|C-
ст҃ааго|стааго|1151|Euchologium Sinaiticum|Prayer and blessing for the house|-s---mgpwi|свѧтъ|A-
ГЛАⷡ҇|глав|17687|Codex Marianus|Mark Incipit|||
ЕВНЪⷸ҇ЛИѢ|евнъгліѣ|17688|Codex Marianus|Mark Incipit|||
ЕЖЕ|еже|17689|Codex Marianus|Mark Incipit|||
ОТЪ|отъ|17690|Codex Marianus|Mark Incipit|||
МАРЪКА|маръка|17691|Codex Marianus|Mark Incipit|||
а҃|а|17692|Codex Marianus|Mark Incipit|||
О|о|17693|Codex Marianus|Mark Incipit|||
бѣсъноуѭштиимъ|бѣсъноуѭштіімъ|17694|Codex Marianus|Mark Incipit|||
б҃|б|17695|Codex Marianus|Mark Incipit|||
О|о|17696|Codex Marianus|Mark Incipit|||
тъшти|тъшті|17697|Codex Marianus|Mark Incipit|||
петровѣ|петровѣ|17698|Codex Marianus|Mark Incipit|||
в҃|в|17699|Codex Marianus|Mark Incipit|||
О|о|17700|Codex Marianus|Mark Incipit|||
ꙇсцѣлѣвъшиихъ|ісцѣлѣвъшііхъ|17701|Codex Marianus|Mark Incipit|||
отъ|отъ|17702|Codex Marianus|Mark Incipit|||
различенъ|разліченъ|17703|Codex Marianus|Mark Incipit|||
недѫгъ|недѫгъ|17704|Codex Marianus|Mark Incipit|||
г҃|г|17705|Codex Marianus|Mark Incipit|||
О|о|17706|Codex Marianus|Mark Incipit|||
прокаженѣмь|прокаженѣмь|17707|Codex Marianus|Mark Incipit|||
д҃|д|17708|Codex Marianus|Mark Incipit|||
О|о|17709|Codex Marianus|Mark Incipit|||
ослабленѣемъ|ослабленѣемъ|17710|Codex Marianus|Mark Incipit|||
жилами|жіламі|17711|Codex Marianus|Mark Incipit|||
е҃|е|17712|Codex Marianus|Mark Incipit|||
О|о|17713|Codex Marianus|Mark Incipit|||
левьꙉи|левьгі|17714|Codex Marianus|Mark Incipit|||
и|і|17715|Codex Marianus|Mark Incipit|||
мꙑтари|мъітарі|17716|Codex Marianus|Mark Incipit|||
ж҃|ж|17717|Codex Marianus|Mark Incipit|||
О|о|17718|Codex Marianus|Mark Incipit|||
сѫхорѫцѣмъ|сѫхорѫцѣмъ|17719|Codex Marianus|Mark Incipit|||
ѕ҃|з|17720|Codex Marianus|Mark Incipit|||
О|о|17721|Codex Marianus|Mark Incipit|||
избърании|ізбъраніі|17722|Codex Marianus|Mark Incipit|||
а҃плъ|аплъ|17723|Codex Marianus|Mark Incipit|||
з҃|з|17724|Codex Marianus|Mark Incipit|||
О|о|17725|Codex Marianus|Mark Incipit|||
сѣмени|сѣмені|17726|Codex Marianus|Mark Incipit|||
притъча|прітъча|17727|Codex Marianus|Mark Incipit|||
ꙇ҃|і|17728|Codex Marianus|Mark Incipit|||
О|о|17729|Codex Marianus|Mark Incipit|||
запрѣштении|запрѣштеніі|17730|Codex Marianus|Mark Incipit|||
водамъ|водамъ|17731|Codex Marianus|Mark Incipit|||
а҃ꙇ҃|аі|17732|Codex Marianus|Mark Incipit|||
О|о|17733|Codex Marianus|Mark Incipit|||
леꙉеонѣ|легеонѣ|17734|Codex Marianus|Mark Incipit|||
б҃ꙇ҃|бі|17735|Codex Marianus|Mark Incipit|||
О|о|17736|Codex Marianus|Mark Incipit|||
дъштери|дъштері|17737|Codex Marianus|Mark Incipit|||
сѵнагоговѣ|сунагоговѣ|17738|Codex Marianus|Mark Incipit|||
в҃ꙇ҃|ві|17739|Codex Marianus|Mark Incipit|||
О|о|17740|Codex Marianus|Mark Incipit|||
кръвоточивѣи|кръвоточівѣі|17741|Codex Marianus|Mark Incipit|||
г҃ꙇ҃|гі|17742|Codex Marianus|Mark Incipit|||
О|о|17743|Codex Marianus|Mark Incipit|||
повелѣнии|повелѣніі|17744|Codex Marianus|Mark Incipit|||
а҃плмъ|аплмъ|17745|Codex Marianus|Mark Incipit|||
д҃ꙇ҃|ді|17746|Codex Marianus|Mark Incipit|||
О|о|17747|Codex Marianus|Mark Incipit|||
иоаннѣ|іоаннѣ|17748|Codex Marianus|Mark Incipit|||
и|і|17749|Codex Marianus|Mark Incipit|||
о|о|17750|Codex Marianus|Mark Incipit|||
иродѣ|іродѣ|17751|Codex Marianus|Mark Incipit|||
е҃ꙇ|еі|17752|Codex Marianus|Mark Incipit|||
О|о|17753|Codex Marianus|Mark Incipit|||
пѧти|пѧті|17754|Codex Marianus|Mark Incipit|||
хлѣбъ|хлѣбъ|17755|Codex Marianus|Mark Incipit|||
ж҃ꙇ|жі|17756|Codex Marianus|Mark Incipit|||
О|о|17757|Codex Marianus|Mark Incipit|||
морьсцѣмь|морьсцѣмь|17758|Codex Marianus|Mark Incipit|||
хождении|хожденіі|17759|Codex Marianus|Mark Incipit|||
ѕ҃ꙇ|зі|17760|Codex Marianus|Mark Incipit|||
О|о|17761|Codex Marianus|Mark Incipit|||
прѣстѫплении|прѣстѫпленіі|17762|Codex Marianus|Mark Incipit|||
заповѣди|заповѣді|17763|Codex Marianus|Mark Incipit|||
б҃жиѩ|бжіѧ|17764|Codex Marianus|Mark Incipit|||
з҃ꙇ|зі|17765|Codex Marianus|Mark Incipit|||
О|о|17766|Codex Marianus|Mark Incipit|||
финикисии|фінікісіі|17767|Codex Marianus|Mark Incipit|||
и҃|і|17768|Codex Marianus|Mark Incipit|||
О|о|17769|Codex Marianus|Mark Incipit|||
