torot_word|pos|lemma|morph_tag|deep_cleaned|lemma_id|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged
въ|R-|въ|---------n|въ|1|277271|| |1|1|0
тъж҇|Pd|тыиже|-s---ma--i|тъж|2|277271|| |1|1|0
дн҃ъ|Nb|дьнь|-s---ma--i|днъ|3|277271||· |1|1|0
съказаниѥ|Nb|съказание|-s---nn--i|съказаніе|4|277271||· |1|1|0
и|C-|и|---------n|і|5|277271|| |1|1|0
страсть|Nb|страсть|-s---fn--i|страсть|6|277271|| |1|1|0
и|C-|и|---------n|і|5|277271|| |1|1|0
похвала|Nb|похвала|-s---fn--i|похвала|7|277271||· |1|1|0
ст҃ою|A-|святыи|-d---mgpwi|стою|8|277271|| |1|1|0
мч҃никѹ|Nb|мученикъ|-d---mg--i|мчнікоу|9|277271||· |1|1|0
бориса|Ne|борисъ|-s---mg--i|боріса|10|277271||· |1|1|0
и|C-|и|---------n|і|5|277271|| |1|1|0
глѣба|Ne|гълѣбъ|-s---mg--i|глѣба|11|277271||· |1|1|0
г҃и|Nb|господь|-s---mv--i|гі|12|277272|| |1|1|0
блгc҇ви|V-|благословити|2spma----i|блгсві|13|277272|| |1|1|0
оч҃е|Nb|отьць|-s---mv--i|оче|14|277272||⁘ |1|1|0
Родъ|Nb|родъ|-s---mn--i|родъ|15|277273|| |1|1|0
правꙑихъ|A-|правыи|-p---mgpwi|правъііхъ|16|277273|| |1|1|0
бл҃гословить|V-|благословити|3spia----i|блгословіть|13|277273|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сꙗ|17|277273|| |1|1|0
рече|V-|рещи|3saia----i|рече|18|277274|| |1|1|0
про҇ркъ|Nb|пророкъ|-s---mn--i|проркъ|19|277274||· |1|1|0
и|C-|и|---------n|і|5|277275|| |1|1|0
сѣмѧ|Nb|сѣмя|-s---nn--i|сѣмꙗ|20|277275|| |1|1|0
ихъ|Pp|и|3p---mg--i|іхъ|21|277275|| |1|1|0
въ|R-|въ|---------n|въ|1|277275|| |1|1|0
благословлении|Nb|благословение|-s---nl--i|благословленіі|22|277275|| |1|1|0
бѹдеть|V-|быти|3sfia----i|боудеть|23|277275||· |1|1|0
сице|Df|сице|---------n|сіце|24|277276|| |1|1|0
ѹбо|Df|убо|---------n|оубо|25|277276|| |1|1|0
бꙑсть|V-|быти|3saia----i|бъість|23|277276|| |1|1|0
малъмь|A-|малыи|-s---nipsi|малъмь|26|277276|| |1|1|0
преже|Df|прѣже|---------n|преже|27|277276|| |1|1|0
сихъ|Pd|сии|-p---ng--i|сіхъ|28|277276||· |1|1|0
сѹщю|V-|быти|-sppamd-si|соущоу|23|277276|| |1|1|0
самодрьжьцю|Nb|самодьржьць|-s---md--i|самодрьжьцоу|29|277276|| |1|1|0
вьсеи|Px|вьсь|-s---fd--i|вьсеі|30|277276|| |1|1|0
рѹсьскѣи|A-|русьскыи|-s---fdpwi|роусьскѣі|31|277276|| |1|1|0
земли|Nb|земля|-s---fd--i|землі|32|277276||· |1|1|0
володимиру|Ne|володимиръ|-s---md--i|володіміру|33|277276|| |1|1|0
сн҃ѹ|Nb|сынъ|-s---md--i|сноу|34|277276|| |1|1|0
свѧтославлю|A-|святославль|-s---mdpsi|свꙗтославлю|35|277276||· |1|1|0
вънѹкѹ|Nb|вънукъ|-s---md--i|въноукоу|36|277276|| |1|1|0
же|Df|же|---------n|же|37|277276|| |1|1|0
игоревѹ|A-|игоревъ|-s---mdpsi|ігоревоу|38|277276||· |1|1|0
иже|Pr|иже|-s---mn--i|іже|39|277276|| |1|1|0
и|Df|и|---------n|і|40|277276|| |1|1|0
ст҃ꙑимь|A-|святыи|-s---nipwi|стъіімь|8|277276|| |1|1|0
кр҃щениѥмь|Nb|крьщение|-s---ni--i|крщеніемь|41|277276|| |1|1|0
вьсю|Px|вьсь|-s---fa--i|вьсю|30|277276|| |1|1|0
просвѣти|V-|просвѣтити|3saia----i|просвѣті|42|277276|| |1|1|0
сию|Pd|сии|-s---fa--i|сію|28|277276|| |1|1|0
землю|Nb|земля|-s---fa--i|землю|32|277276|| |1|1|0
рѹсьскѹ|A-|русьскыи|-s---fapsi|роусьскоу|31|277276||· |1|1|0
прочаѧ|A-|прочии|-p---fapwi|прочаꙗ|43|277277|| |1|1|0
же|Df|же|---------n|же|37|277277|| |1|1|0
ѥго|Pp|и|3s---mg--i|его|21|277277|| |1|1|0
добродѣтели|Nb|добродѣтель|-p---fa--i|добродѣтелі|44|277277|| |1|1|0
инде|Df|инъдѣ|---------n|інде|45|277277|| |1|1|0
съкажемъ|V-|съказати|1ppia----i|съкажемъ|46|277277|| |1|1|0
нынѣ|Df|нынѣ|---------n|ньінѣ|47|277278|| |1|1|0
же|Df|же|---------n|же|37|277278|| |1|1|0
нѣсть|V-|не быти|3spia----i|нѣсть|48|277278|| |1|1|0
времꙗ|Nb|врѣмя|-s---nn--i|времꙗ|49|277278||· |1|1|0
а|C-|а|---------n|а|50|277279|| |1|1|0
о|R-|о|---------n|о|51|277279|| |1|1|0
сихъ|Pd|сии|-p---nl--i|сіхъ|28|277279|| |1|1|0
по|R-|по|---------n|по|52|277279|| |1|1|0
рѧду|Nb|рядъ|-s---md--i|рꙗду|53|277279|| |1|1|0
сице|Df|сице|---------n|сіце|24|277279|| |1|1|0
ѥсть|V-|быти|3spia----i|есть|23|277279|| |1|1|0
сь|Pd|сии|-s---mn--i|сь|28|277280|| |1|1|0
ѹбо|Df|убо|---------n|оубо|25|277280|| |1|1|0
володимиръ|Ne|володимиръ|-s---mn--i|володіміръ|33|277280|| |1|1|0
имѣꙗше|V-|имѣти|3siia----i|імѣꙗше|54|277280|| |1|1|0
сн҃овъ|Nb|сынъ|-p---mg--i|сновъ|34|277280|| |1|1|0
в҃ꙇ|Ma|дъванадесять|---------n|ві|55|277280|·|· |1|1|0
не|Df|не|---------n|не|56|277280|| |1|1|0
отъ|R-|отъ|---------n|отъ|57|277280|| |1|1|0
ѥдиноꙗ|Ma|единъ|-s---fg--i|едіноꙗ|58|277280|| |1|1|0
женꙑ|Nb|жена|-s---fg--i|женъі|59|277280|| |1|1|0
нъ|C-|нъ|---------n|нъ|60|277280|| |1|1|0
отъ|R-|отъ|---------n|отъ|57|277280|| |1|1|0
раснъ|A-|разьныи|-p---fgpsi|раснъ|61|277280|| |1|1|0
матеръ|Nb|мати|-p---fg--i|матеръ|62|277280|| |1|1|0
ихъ|Pp|и|3p---mg--i|іхъ|21|277280||· |1|1|0
въ|R-|въ|---------n|въ|1|277281|| |1|1|0
нихъ|Pp|и|3p---ml--i|ніхъ|21|277281|| |1|1|0
же|Df|же|---------n|же|37|277281|| |1|1|0
бѧше|V-|быти|3siia----i|бꙗше|23|277281|| |1|1|0
старѣи|A-|старыи|-s---mncti|старѣі|63|277281|| |1|1|0
вышеславъ|Ne|вышеславъ|-s---mn--i|вьішеславъ|64|277281||· |1|1|0
а|C-|а|---------n|а|50|277282|| |1|1|0
по|R-|по|---------n|по|52|277282|| |1|1|0
немь|Pp|и|3s---ml--i|немь|21|277282|| |1|1|0
изѧславъ|Ne|изъяславъ|-s---mn--i|ізꙗславъ|65|277282|| |1|1|0
г҃|Ma|трие|---------n|г|66|277283|·|· |1|1|0
ст҃опълкъ|Ne|святопълкъ|-s---mn--i|стопълкъ|67|277283||· |1|1|0
иже|Pr|иже|-s---mn--i|іже|39|277283|| |1|1|0
и|Df|и|---------n|і|40|277283|| |1|1|0
ѹбииство|Nb|убииство|-s---na--i|оубііство|68|277283|| |1|1|0
се|Pd|сии|-s---na--i|се|28|277283|| |1|1|0
зълоѥ|A-|зълыи|-s---napwi|зълое|69|277283|| |1|1|0
изъобрѣтъ|V-|изобрѣсти|3saia----i|ізъобрѣтъ|70|277283||· |1|1|0
сего|Pd|сии|-s---mg--i|сего|28|277284|| |1|1|0
мт҃и|Nb|мати|-s---fn--i|мті|62|277284|| |1|1|0
преже|Df|прѣже|---------n|преже|27|277284|| |1|1|0
бѣ|V-|быти|3siia----i|бѣ|23|277284|| |1|1|0
чьрницею|Nb|чьрница|-s---fi--i|чьрніцею|71|277284||· |1|1|0
гръкꙑни|Nb|грькыни|-s---fn--i|гръкъіні|72|277284|| |1|1|0
сѹщи|V-|быти|-sppafd-si|соущі|23|277284|| |1|1|0
и|C-|и|---------n|і|5|277285|| |1|1|0
поꙗлъ|V-|пояти|-sspamn-si|поꙗлъ|73|277285|| |1|1|0
ю|Pp|и|3s---fa--i|ю|21|277285|| |1|1|0
бѣ|V-|быти|3siia----i|бѣ|23|277285|| |1|1|0
ꙗропълкъ|Ne|яропълкъ|-s---mn--i|ꙗропълкъ|74|277285|| |1|1|0
братъ|Nb|братъ|-s---mn--i|братъ|75|277285|| |1|1|0
володимирь|A-|володимирь|-s---mnpsi|володімірь|76|277285||· |1|1|0
и|C-|и|---------n|і|5|277286|| |1|1|0
ростригъ|V-|ростричи|-supamn-si|рострігъ|77|277286|| |1|1|0
ю|Pp|и|3s---fa--i|ю|21|277286|| |1|1|0
красотꙑ|Nb|красота|-s---fg--i|красотъі|78|277286|| |1|1|0
дѣлꙗ|R-|дѣля|---------n|дѣлꙗ|79|277286|| |1|1|0
лица|Nb|лице|-s---ng--i|ліца|80|277286|| |1|1|0
ѥꙗ|Pp|и|3s---fg--i|еꙗ|21|277286||· |1|1|0
